評論者,評等,評語
馮啟倫,5,服務員很貼心   看到你東西太多會帶你換座位   且食物多樣   一個月沒來東西就換了一些   讓用餐體驗總是有新意   以前常去新竹的響食天堂覺得吃膩了    但是來到這裡讓我發現響食天堂真的是美食天堂   大推！（by 平日來的學生）
周怡華,5,"每次來都吃得好飽,cp值超高!!"
陳小姐,5,總類非常多，服務態度非常好，環境整潔乾淨
Amber Li,5,物超所值的吃到飽餐廳，肉類，海鮮，湯品都有一定水準，烹煮方式各有特色，飲料甜點種類口味多樣，冰淇淋尤其令人垂涎，價格千元上下，聚餐的好地方。
Ye Chen Shu,4,好吃，服務好
Courtney Chen,5,食材選擇多，全家人吃的很開心
Weiwei Tseng,4,裝璜後，菜單有變化，紅酒，白酒都不錯。
Namio6766,5,來過幾次，相隔幾年後來，餐食種類一樣多、質感更好，晚餐可以聊得很久，很滿意。9點多，員工開始整理都很有禮貌，一位員工用肥皂水蹲下擦拭桌腳踏板，讓我特地留下5星，很重視環境整潔，連細節都不馬虎，員工很棒，公司教育也很成功。
王琳婷,5,(由 Google 提供翻譯) CP值很高(原始評論)CP值很高
Porong Wang,5,食材種類多 也好吃 服務人員也很親切
Chien-Hung Lee,4,(由 Google 提供翻譯) 上等食材(原始評論)上等食材
Miles Hsiao,4,裝潢好的第一天去吃的環境算是改了不少菜色變多了當然價錢也變貴了
wj liu,5,食物豐富，新鮮，多樣
張之寧,5,來了板橋小遠百響食天堂，菜色有改變，改變風格還不錯吃
DearWing WANG,5,菜色更換過，顧客自取菜色比例增多，感覺比以前好。
Wang Joseph,2,還好
Tony Huang,5,餐點好吃，人員服務態度佳
微糖,5,環境好氣氛佳
Katherine Liu,2,氮氣綠茶紅茶等茶類全部變成茶包，來這裡有一大目的就是要喝氮氣綠茶，改成這樣超級失望，之後會考慮去別間吃
Se-Ing Li,4,目前整修中，預計10/1重開幕。
紫菲,2,秋天是食蟹的季節，但螃蟹竟然不鮮美可口。其他常備菜品也是普通，覺得食材品質下降，少了以往物超所值的感受。
WU CHI,4,"不過遠東21地下停車場的臭氣不敢恭維,頁的很糟糕。"
Brook Li,4,菜色豐富，口味以吃到飽來說算不錯的。空間寬敞，服務也OK。
陳博文,4,還好去弟二次
林大偉,3,有點壓迫
lawliet L.,5,停車方便
jimmy lin,5,豐富的美食！不會失望的！
Jeremy Syu,4,時常來吃~  每一道都是美食，除了一鴨三吃....
amber chen,4,(由 Google 提供翻譯) CP值高(原始評論)CP值高
張瑪莉,4,不準時吃飯也有好處
YL H,1,吃完後，晚上一直跑廁所就算了，賣的餐券假日午餐跟平日晚餐價格一樣，但是如果買假日午餐然後平日去，會被收原價，餐卷標示不清楚，其他公司都會寫，如果假日使用或是平日使用+100，什麼的...數字都標示很清楚，就只有你們在搞純文字，逞罰中文不好的人?
大姑姑の香酥豆干行動餐車,5,高消費晚餐
T Sh,5,可愛的生日蛋糕和禮物！
賴嘟嘟,3,啤酒怎會沒有泡沫？
Lia new,5,(由 Google 提供翻譯) 在這裡吃飯真的很好而且很滿意(原始評論) …更多(由 Google 提供翻譯) 在這裡吃飯真的很好而且很滿意(原始評論)Enakk sekali & puas makann disiniee
慧珠,4,漲價了
施呈嶧,5,超愛
吳文展,4,其實都不錯，除了冷氣超級不冷以外
趙暄,5,烤布蕾、雞肉、鴨肉捲、生巧克力好吃生菜沙拉很多樣可以選擇的醬料也很多也可加起司紅茶好喝、果汁還不錯稍嫌美中不足的是批薩很硬
Jolin Cau,4,喜歡有蝦的料理 新鮮有甜味 照燒雞非常好吃 飲料區的柳丁汁跟烏梅汁好好喝這是我的第二次 居然跟第一次一樣 吃完後 完全不會想再來 幾乎沒有一道想再吃
綺兒,5,食物蠻新鮮的，也很好吃，服務態度也很好
Sean Liao,5,東西選擇多，好吃
林炫,5,不錯ㄟ，很好吃
jiayi Lin,4,覺得比起台中的，更愛來這間有威士忌特調能喝，蠻加分食材部分大部分都還不錯♥
梁敏夫,5,半小時就有點飽了，怎麼辦！？
Lala,5,選擇很多又好吃😋而且店員也都很親切！
Bae Bae,3,(由 Google 提供翻譯) 普(原始評論)普
陳宏志,5,餐廳很用心，推薦
謝宗諺,3,羊排真的不行...咬都咬不動...鴨肉餡餅太乾生魚片不錯 然後冰淇淋如果都那麼硬乾脆就不要用...挖個冰還以為在訓練臂力
陳俊嘉,3,口感很一般般，走了一圈不知道要吃什麼
chaoyi chen,3,假日中午去，人很多，熱門食物（蛤蜊，烤生蠔，烤布蕾，天使紅蝦），都補貨不及，等蠻久的...結帳也等很久。食物好吃...可是蛤蜊有沙。
許研研,1,服務態度真的不行，服務費付的很不甘願，有禮貌的詢問服務生問題，卻好像欠錢一樣，回答的很不耐煩，傻眼
葉湘怡,4,第一次吃 不錯哦
林毓琦,5,食材選擇多乾淨衛生服務好
Amigo Wen,5,餐點選擇多，服務人員也親切，但備品和餐具補的速度太慢，我們等補杯子等到用餐時間已過，被服務生提醒該離開了。
Allen Kao,3,防護措施令人擔憂
落角,5,吃到飽首選 值得再來
Yue Chi,5,對孕婦非常友善，從入門開始的墊背，跟需要的幫助無微不至的貼心，非常推薦，也謝謝副理到服務員的協助🙏🏻
sunny chuang,5,落實防疫措施、主題變化讚、環境衛生、佳餚美味、服務專業、主廚及服務員都和藹可親、謝謝您……洗手間在餐廳外ㄛ、有♿無障礙一間❤❤❤
黃廷凱,4,食物新鮮氣氛
李伊哆,3,來過生日慶祝，服務人員還會主動詢問有當月壽星，送上自助吧的小蛋糕，餐桌墊紙的隱藏版美食普通，冰淇淋只有一台，要排隊而且難挖，叉燒好吃，海鮮類不推薦冷盤。
劉奕方,5,從環狀線及藍色線出站往新北市政府大樓約走10分鐘達板橋遠東百貨，搭電梯至11樓，再步行2分鐘轉搭手扶梯即達餐廳門口。
盧怡蓁,5,(由 Google 提供翻譯) 美食超好吃(原始評論)美食超好吃
李先生,4,這是板橋中山店的遠東百貨，跟一般的百貨一樣，但我來這裡的饗食天堂用餐，以前都是訂台北市京站店，板橋店是第一次訂，一樣的店，口味可不一定一樣，可能是師父手法不同，我還是偏愛京站店，個人口味不同還是要大家親自體驗品嚐！
deniz hsu,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
蔡志鴻,5,不錯吃，服務很好。
吳志宏,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
劉源塘,5,服務態度親切，餐點多樣，值得再來。
Naomi Lee,5,海鮮類食物比較多，如果不吃海鮮的人比較不適合。整體味道不錯，食物也算新鮮，飲料種類也多元。
Eric chen,5,良心的建議，一定要先訂位。
蘇志達,3,還可以
黃守華,5,服務生態度好，環境不錯，有多元化的選擇，菜色不錯，只是缺少無糖飲料，昨天去吃結果他的烤蚵仔殼裡面的蚵仔肉是乾的請問要怎麼吃昨天去吃結果被調到別的餐廳被服務生遺忘的客人因為桌子上都沒來收餐盤
陳小莉,3,(由 Google 提供翻譯) 普通(原始評論)普通
achung315 Lu,5,食材新鮮，東西不錯吃，這種價位CP值可以了！還可以免費停車.
ShiouFu Shih,5,服務很好，極為貼心
scott wang,4,(由 Google 提供翻譯) 菜色很多很可口(原始評論)菜色很多很可口
chen lihtern,4,食材沒有進步，但整體服務還不錯。
YR H,1,服務員要收空盤前都不會問客人要不要收，都直接收走，杯子還有飲料也通通收走，態度有夠爛，主管結帳也算錯錢
肉包康,3,對信義店吃過幾次的我來說，這間的菜色口味實在有點差距。羊排常常煎的過乾，生蠔料理的也有點腥味。補菜跟一些備品像衛生紙或者餐具速度實在有點慢常要顧客提醒才會放上。而且用餐客群素質老實說也不是太好，吵雜跟擁擠感像是是三五百塊的雜牌自組餐。若以後要吃自助餐還是直上饗饗吧！
辜小妞,4,進步了
陳震,5,食物多樣好吃
王宜蓁,5,服務好！食物多樣！
brian brain,3,空間有點小，服務態度中下，食物不是太新鮮
先兒,5,食品有許多選擇，店員收拾速度很快
黃維彬,5,整天來說還不錯，海鮮的料理偏多，不吃海鮮的去會有點小虧。
林林林,5,樣式多，晚餐時間給的很充裕，是會讓人時常想去的地方
James Lin,1,對待候補客戶態度不佳，詢問還要等多久，前面還有多少人，都不願告知，只是一直說等電話通知，應該要改善。
鍾欣竮,4,素食餐點普通
Destiny Wei,5,吃過最滿意的Buffet
Joe Fan,2,餐點跟去年差不多約9成舊品，服務變差了。
吳明明,5,好吃，東西豐富
豪哥,5,食材新鮮，服務人員勤快到位，用餐位置明亮動線流暢~~
郭品含,5,東西很多 也很好吃  而且不會因為多就只有吃粗飽的份   他們蠻多東西都是走精緻路線😆
賴冠霖,5,(由 Google 提供翻譯) 好(原始評論)Good
Miya Wu,3,裝潢燈光太黑了，感覺不舒服，沒詢問是否還用餐就把餐具收走，傻眼。
J K,2,不好吃 台中或大直的比較好吃尤其這間的港點實在太失敗了啊不過不改進也是沒關係的 因為我們實在不敢再訂這間了 爸媽罵不停我心也累
侒倬李,5,多種樣式的料理，不管是挑你喜歡的，還是各種都嘗一遍，都有在水準之上
Foxcy Chen,5,餐飲種類繁多，吃不到全部就飽了，調理的都滿好的，覺得比很多飯店buffet都還優
una chen,5,菜色滿多的，禮拜一中午也是滿座，還真的是現代人的饗食天堂！
蔡佩君,5,聚餐慶祝節日的優選去處，取餐空間挑高明亮，菜色選擇多樣化，用餐環境大而舒適，服務人員親切有效率，若是大胃王想吃到飽極力推薦🤭👍👍👍🤭
周銘皇,5,東西還是又新鮮又多
陳儀祥,3,新的嚐鮮 氣氛還不錯 但不時會發出警報器擾人 菜色可供參考~還不錯 假日聚餐會是個可參選好地點
炎武洋雨,5,假日晚餐的干貝實在是太美味了，價格以吃到飽來說算中等，整體動線、環境尚可，為了干貝我給五顆星~
高瑀,4,餐點多元化
林永殿,4,菜色多但很亂
木瓜-曾慧龍,5,各式好吃餐點與甜點
余宗翰,3,(由 Google 提供翻譯) 普通(原始評論)soso
黃琪真,1,先前打電話過去訂位時，就有告知店家說素食的有兩位，店家回覆「直接過來現場即可」，於是我們就直接到了餐廳。素食的總共有10樣餐點，一小時內只上了3樣，如果說份量是夠的，可能還不會到很餓，但每一個份量也都不太足夠，造成體驗感覺不好。也向店家反應了2次，店家回應我們是現做的，現做我們多少可以諒解，但我們感覺這樣的價位並不值得，也應該可以在預約時就備好一些食材跟料理，好讓客人到達時能儘快享用，不然看著朋友一盤盤的食用完畢，生理飢餓心理也會不太愉快。希望這方面能做改進。
Solomon Mengeu,5,"(由 Google 提供翻譯) 可以說，這是台北最好的自助餐廳之一。這裡的菜餚和國際美食的選擇和選擇非常廣泛。過去一兩年中，飲料菜單也有所改進，提供了更多選擇。這裡的USP是他們不向您收取開瓶費，因此，如果您在特殊場合有特殊的一瓶或兩瓶葡萄酒，可以將其隨身攜帶。只是別忘了帶上你的酒杯，他們這裡只有啤酒和水杯。 …更多(由 Google 提供翻譯) 可以說，這是台北最好的自助餐廳之一。這裡的菜餚和國際美食的選擇和選擇非常廣泛。過去一兩年中，飲料菜單也有所改進，提供了更多選擇。這裡的USP是他們不向您收取開瓶費，因此，如果您在特殊場合有特殊的一瓶或兩瓶葡萄酒，可以將其隨身攜帶。只是別忘了帶上你的酒杯，他們這裡只有啤酒和水杯。(原始評論)This is arguably one of the best all you can eat buffet restaurants in Taipei. The selection and choices of dishes and international cuisine here are pretty extensive. The drinks menu has also improved in the last year or two with more options. An USP here is that they don't charge you a corkage fee, so if you have a special bottle or two of wine for a special occasion you can bring it with you. Just don't forget to bring your wine glasses, they only have beer and water glasses here."
Joseph,4,(由 Google 提供翻譯) 行(原始評論)行
蔡明格,5,CP值很高，天使紅蝦很好吃
小中,5,上週末晚上去吃，海鮮吃完沒過敏，夠新鮮！
WEN WEN CHEN,5,服務人員親切、熱誠。桌上用過的盤子收餐快，自助式來說，食物高級好吃。CP值高。我最喜歡現場服務人員的服務。感受佳～
何錦軒,5,每次來吃菜色，絕對不會讓你失望的，值得一吃再吃的好餐廳。
侯清山,5,品項多，吃到飽
王堯民,5,"暑假開始了,全家來此輕鬆一下。"
YING-EN CHANG,3,超棒！下午餐的服務生收盤子很勤快👍我還沒吃完的也一併收走😂
陳筱茵,5,東西超多 好吃 果汁也好喝 服務人員超親切
曼君,5,餐飲口味變化多／甜品水果飲料多／大胃王吃的超開心太好吃了喲！
林詩倩,4,食材大部份都很新鮮，螃蟹因為不是季節所以沒什麼肉~烤生蠔有些烤過乾及有吃到幾顆不太OK的口感~希望點心可以增加馬卡龍的選項，之後有炒冰現在沒有了，希望也能恢復，因為孩子們都很喜歡~^_^
游繡榛,5,食物不錯
黃怡玲,1,之前全家用餐，感覺不錯，都吃的很開心！但7月7日全家也選擇來吃晚餐 ，先生先拿了紅蝦便吃邊說沒有很新鮮，吃一半本人立刻到廁所拉肚子，跟著先生也跑廁所，以為我們年紀大了比較敏感，回家半路換兒子，半夜女兒也拉肚子，全家都拉，下次應該不敢再去了。
范正龍,4,選擇多樣，環境乾淨，服務親切，惟舊桌椅似乎需更新
蕭achin,4,食物出乎意外地還不錯
陳發,5,..。.?...
熱咖啡,5,食材新鮮.菜色多變.適合慶生.約會
江采蓉,1,我在7/4晚上18:30於板橋遠百饗食天堂購買外帶，四個鮭魚功夫炒飯、一個霸王櫻桃鴨、一個櫻花蝦高麗菜、一個和風照燒雞腿排，等了超久，18:30購買等到20:00才拿到餐，單子上面寫現場訂購請於取餐前30分鐘預定，我也耐心的等待30分鐘，沒想到他們工作人員的疏忽也未免太離譜了讓我足足在等一個小時才取到餐。。。。。。。。。 ⋯⋯更多我在7/4晚上18:30於板橋遠百饗食天堂購買外帶，四個鮭魚功夫炒飯、一個霸王櫻桃鴨、一個櫻花蝦高麗菜、一個和風照燒雞腿排，等了超久，18:30購買等到20:00才拿到餐，單子上面寫現場訂購請於取餐前30分鐘預定，我也耐心的等待30分鐘，沒想到他們工作人員的疏忽也未免太離譜了讓我足足在等一個小時才取到餐。。。。。。。。。敬告要外帶饗食天堂餐的朋友們要提前兩個小時訂不然會等到天荒地老
莊美雲,5,裝潢佳，食材新鮮樣式多，比幾年前吃好吃
Andrew Lo,4,食品頗多且新鲜坐位舒適價格稍高一點
盧志妙,5,讚
游明宏,5,(由 Google 提供翻譯) 說首都(原始評論)該有都有
Josh Lin,4,裝潢有點舊，餐點還可以接受。
葉杰峰,4,東西種類非常多，服務人員也很客氣，只是廚房補東西稍微比較慢。
張雅雅,5,"吃了好多次，服務好，CP值很高,牛肉炸蝦很好吃，現煮的粥也是，而且東西種類很多，最新的抹茶冰也很好吃，不太敢吃抹茶的我吃了好多，覺得真的比某些很貴的店好太多💕💕💕"
Mia Yu,3,副店態度不是很好，因為是主管等級更必須要有專業良好的服務態度
Nelson YEH,4,用餐環境好
東東兒,5,食物有比以前好很多，但是沒素質的客人也跟著變多了嘖嘖
中正預校林桑,4,不錯
shao-frng Tsai,2,沒以前CP值高了，啤酒罐裝改成吧台後淡如水，調酒也是，生蠔等高單價菜色遇到人多時排隊保證等幾次就沒耐心在排了。真的要吃下午茶比較划算
Alex Liu,4,用餐環境舒適
簡欣怡,5,優質的服務態度 餐點也很優質
李怡君,4,(由 Google 提供翻譯) 焦糖柚子盅👍(原始評論)焦糖柚子盅👍
Shin-Guei Wu,4,(由 Google 提供翻譯) 菜色多元(原始評論)菜色多元
簡進財,4,吃很飽！
王瑞琪,4,食材新鮮，用餐環境舒適，不錯的餐廳
Yu Wang,3,食物好吃豐富但服務真的不敢恭維...當初謝師宴訂位詢問工作人員報價，明明訂的是假日晚餐，卻報價給我們平日晚餐的錢 ⋯⋯更多食物好吃豐富但服務真的不敢恭維...當初謝師宴訂位詢問工作人員報價，明明訂的是假日晚餐，卻報價給我們平日晚餐的錢來回也確認很多次...結果當天要付款的時候才告知我們導致原本預收的錢不夠付款，還要另外再自己先貼錢座位部分也是喬了很久😕食材是真的好吃又豐盛但服務的部分希望內部再多加強訓練
劉淑敏,4,覺得不錯，很想再去
劍文林,4,(由 Google 提供翻譯) 同意(原始評論)同意
蔡阿方,4,好吃，乾淨
徐鈺鈞,5,黑鮪魚生魚片
林宏達,5,很好吃，菜色多，生魚片和生和牛很新鮮，還有黑鮪魚，服務人員收空盤很快
E,1,"2020/06/04平日時間中午約11：40進場，11：50左右告知飲料吧台那的極短髮女店員說這復刻奶茶是不是酸掉了(朋友前一個月有來餐廳用餐過，喝過奶茶是正常的，這次卻酸酸的)，店員試喝後卻說：沒有阿！本來就是這個味道。 ⋯⋯更多2020/06/04平日時間中午約11：40進場，11：50左右告知飲料吧台那的極短髮女店員說這復刻奶茶是不是酸掉了(朋友前一個月有來餐廳用餐過，喝過奶茶是正常的，這次卻酸酸的)，店員試喝後卻說：沒有阿！本來就是這個味道。想說好吧可能我們兩位味覺都有問題？，後來走掉後回座位待了一下，約11：58遠看看見員工又在試喝一次奶茶，看似覺得真的酸掉吧還是機器的問題？，請了主管過去處理，發現主管來來去去了幾次應該也知道此飲料有問題，前前後後不知道還有多少人喝了奶茶(有一段時間都沒有打算禁止提供，照樣讓顧客可以裝飲料)，最後大約13：00吧，看見另一位主管在處理飲料的問題，把奶茶裝在桶子裡，試喝了一口還是搖頭，馬上倒回桶子裡，邊講著電話，可能是覺得奶茶一樣有問題，也在飲料出水口掛上了更換中。單純覺得店員一開始不需要欺騙，明明自己喝了也覺得有酸掉，為何要說 ""沒有，本身就是這個味道...""？飲料吧台與甜點皆是同個工作區域，態度也不好，一開始請員工過來飲料這邊要詢問他的時候還很不耐煩的感覺，還慢慢的走，好像我們很奧客:)自己也做過服務業，態度好點，誠實就好不需隱瞞真相"
D. L,4,種類多，還有特別的烤竹筍，非常鮮甜，每樣菜色味道都不錯，環境乾淨，天使紅蝦吃到飽，建議平日來消費cp值最高，人少免排隊，一人才800多元
江盈蓁,5,食物好吃，服務好，直得消費
賴彼得,4,第一次來，感覺不如我預期。香煎羊肩肉不行..焗烤生蠔尚可..醬醃鳳螺...吃到一顆臭的，其餘的味道..沒鮮味日式的鮭魚以及透抽處理的很好蟹類..算了（是我的最愛說😭）
金明江,5,(由 Google 提供翻譯) 小羊排好吃(原始評論)小羊排好吃
小宇,1,消費者不戴口罩就能進入，沒戴口罩也可隨意取餐，服務人員完全不規勸，疫情期間不顧及所有用餐者安全，很可怕的處理方式
t01王顗誠,5,東西好吃 環境衛生良好
yali Wise,4,不錯
楊烜坺,5,晚餐時段東西多樣好吃！素食套餐也滿有特色的
黃金安,3,生魚片類的，不大行，鮭魚沒油脂的香甜，握壽司很乾。蝦子類，因為蝦子新鮮，所以烤蝦、炸蝦、水煮蝦，味道都很不錯。櫻桃鴨，味道一般。披薩，味道一般。焗烤生蠔，嗯，味道是分離的。鹽焗雞很棒！甜在心地瓜、饗樂骨，味道也很不錯。 ⋯⋯更多生魚片類的，不大行，鮭魚沒油脂的香甜，握壽司很乾。蝦子類，因為蝦子新鮮，所以烤蝦、炸蝦、水煮蝦，味道都很不錯。櫻桃鴨，味道一般。披薩，味道一般。焗烤生蠔，嗯，味道是分離的。鹽焗雞很棒！甜在心地瓜、饗樂骨，味道也很不錯。甜品的味道都還不錯，符合水準。哦，我很喜歡烤布蕾。總結，還有很多菜色沒吃到，但想吃的都吃了。生魚片類的是大敗筆，遠輸京站店。
WENLIEN HSU,5,跟對的人吃，什麼都好吃      ，吃服務吃美食👍👍👍
劉育哲,5,"食材新鮮美味,服務人員親切有禮貌｡"
阿善,3,基本的吃到飽餐廳
林家興,4,菜色選擇豐富，用餐環境舒適，料理品質佳，唯生魚片餐盤有污垢殘留待改善。
TENG fc,2,520當天幫老婆慶生，發現菜色變少了！！！是防疫期嗎？價格不變，菜色縮水
王俊凱,5,環境，飲食都不錯，就是廁所有點遠！
布丁盤,5,疫情當下，配合政府的人流位置管制措施，非常棒！
TGC 051,3,今天吃的覺得菜色變少了，一個人約800cp值變差了。
呂致中,3,家人愛吃 選擇多 螃蟹沒什麼肉 蝦子還可以  蛤仔湯很鮮甜 其餘普普
陳文恒,5,比較常去的饗食店  味道和服務都不錯 會常常光顧的好地方雖然受到疫情影響人變少了 但味道還是不錯的
水木一人,3,有點小貴
claire yun,4,餐點多樣，和以前比較美味度有再提昇，位於小遠百樓上停車算方便，吃飽順便逛百貨公司有助消化
allemkimo,5,這是今年的第3次來用餐，客人依舊不多，沒有小孩子哭鬧，沒有大嬸們嘻嘻哈哈，想吃什麼不用等，每組客人間隔一桌，我拿菜時會戴口罩避免飛沫，對比隔壁歇業的八x食堂，很感謝饗食仍然撐住（舊）現在是新冠肺炎防疫時期，我必須殘忍地說只有平常一半客人的用餐環境真的太棒了。當然，承平時期我也會來吃，一季一次，好吃，但人多到菜用搶的。
Binghom Zeng,5,推薦生魚片、哈根達斯吃到飽。
李宏富,3,食材種累多，唯獨燒烤及較貴的東西都要排對等很久，感覺店家有點故意拖延，
Po-Han Chen,5,疫情關係人變少，但服務什麼我覺得很好人少吃起來很舒服吃起來氣氛也很好，大力推薦希望能多多支持！
phật trong tâm,5,(由 Google 提供翻譯) 好(原始評論)Good
Y.C Chen,4,週一平日晚餐 餐點齊全不太需要排隊會想再次造訪用餐
richard hsu,4,菜色豐富，服務態度好，飲品可再改進。
邱小龍,5,收盤子效率不錯！東西也好吃！有問題剛留言店經理馬上來詢問並說抱歉！所以服務態度也很好！
高洪傑,5,很久沒吃，菜色改變很多
trouble maker,5,賀甲
郭雅雯,4,新鮮
洪岷可,5,(由 Google 提供翻譯) 常吃(原始評論)常吃
kuocheng chou,5,物美價廉
石頭哥哥,5,已經不知道N訪，食物種類繁多，而且都很好吃，最喜歡烤白蝦，非常的鮮甜，品質有再提升的感覺，各種設備都有汰換，也有一些料理是從饗饗下方的，很推薦來吃，記得葛利湯必喝啊！
呂國鈺,5,(由 Google 提供翻譯) 服務善良一流的菜(原始評論)服務親切~料理一級棒
Wu Anne,2,覺得螃蟹蝦子類令人非常失望.....完全不鮮甜餐點補的速度慢、冷盤類居多、甜點重複性太高吃起來很膩😡
張南瓜,1,生意好，品質差，餐點很粗糙
一腸李,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
yuxi Zheng,5,兩人同行1405$，划算
陳煥楣,3,(由 Google 提供翻譯) 很可以(原始評論)很可以
方文玲,4,服務人員態度友善又親切魚池紅茶爽口又回甘，烤布蕾好吃又不膩，酥炸牛蒡令人驚艷，酥脆又好吃😋整體而言都還不錯👍
李佳諭,3,3.5分其實吃過饗饗之後就覺得還好嗚嗚
詹明憲,5,食物美味90分，環境輕鬆95分，“當日”服務99分。
高偉豪,4,食材在自助餐算不錯，可以來吃。
Jason su,5,烤香魚個人覺得是最棒的 可以吃5~6條 烤葡萄柚也很讚！
林明聖,3,情人節慶生
李承翰,5,應有盡有，滿足
Sherry Lee,4,東西種類很多，希望能多新增海鮮以外的東西
小赤龍,4,東西雖然多，但是冷盤居多，熱食部分可以增加，料理蝦子部分有待加強
JS Duncan,1,3/1晚上1745左右進場用餐其中覺得蝦子不太新鮮不以為意繼續用餐 ⋯⋯更多3/1晚上1745左右進場用餐其中覺得蝦子不太新鮮不以為意繼續用餐但回家臨睡前拉肚子一次半夜三點又起來吐了直到現在早餐到現在都未進食持續上吐下瀉 四肢無力 （吐水拉水）真的很糟糕的體驗現在我就坐在馬桶上評論太生氣了😤
百里,5,高等價位的吃到飽餐廳，餐廳桌位很高檔，食材也很多元，有日式生食`批薩`港式蒸籠
Hsu Chih Chiang,4,好吃，但是有點太貴
李政育,4,加入會員有打者
陳民昆,4,菜色花樣種類多
Tommy Wang,3,感覺菜色都很普通，菜色都沒有更新
山移嬤,4,沒有比較有特色的菜色，服務很好
志雄吳,4,東西不錯吃。種類也多。
且澤,5,(由 Google 提供翻譯) 好吃。(原始評論)好吃。
劉文得,3,(由 Google 提供翻譯) 吃不回本(原始評論)吃不回本
T CC,5,食材多樣，不錯聚餐選擇😀
pearlangel yu,4,(由 Google 提供翻譯) 好地方和美味的食物(原始評論)nice place and good foods
楊振榮,4,用餐環境很好 服務人員態度很親切 食材用料非常豐富 讓你吃到飽
Momo Su,5,食材新鮮，服務親切，環境乾凈整潔，聚餐的最佳選擇
詹月鳳,1,感覺菜色好像是少了
陳玉菁,4,服務不錯，餐點多樣
鄔中源,4,好吃的聚餐場所
Peter Kao,3,東西越來越少，cp 值低
甄暎裴,5,東西多樣 好吃 讚唷 感謝另一半的情人節大餐
야옹Yaong,4,(由 Google 提供翻譯) 好吃(原始評論)맛있는거 개많음
Griet Pearl,2,上上個月才造訪這家饗食天堂，完全過譽，食物真心不好吃，後悔當初沒有阻止家人過來聚餐，家族有人吃素食，點了素食套餐，不EY，一樣不好吃。
