評論者,評等,評語
Egg陳,3,用餐很順利，清潔服務的小姐很貼心！
綠川陽,1,別去!牛肉 地瓜 裡面驗出有重金屬 吃了會性無能聽我的準沒錯!
中和在地人,4,去過太多不同的用餐地點，就是愛吃
CY,2,天使紅蝦不新鮮沒有哈根達斯沒什麼高級食材
藍偉倫,4,整體用餐體驗不錯環境明亮 視覺感受寬敞
YVETTE HUNG,4,還不錯，只是常吃，久了有些膩了。服務人員都很不錯。
Sp Osp,3,"下午茶的螃蟹不新鮮,其他的東西還可以希望,可以加強螃蟹的新鮮度"
玟岑林,1,"8個月大小孩因為位子排不好等導致摔下地面！餐點部分不評論～就是那樣 ⋯⋯更多8個月大小孩因為位子排不好等導致摔下地面！餐點部分不評論～就是那樣排位子極不ok,對親子完全不友善！！祖孫3代共4對夫妻+3個小孩共11人（2位剛1歲，1位8個月）「給我們3個4人坐」排在離取餐處最遠的地方，導致媽媽去取餐，爸爸顧小孩時服務人員來問車號抵停車，椅子上的提籃裡的嬰兒就這樣摔下來了，好險是連提籃摔下（我們一定也是不夠注意，但我從一開始就很不爽這種位子了！對方說其他6人位都滿了，但明明到用餐結束隔壁6人位都空的）今天是沒事所以也接受補償與道歉，但真的很驚嚇，萬一真的摔傷了，其實再怎麼樣餐廳也難辭其咎。我一開始就有寄放蛋糕，應該就知道這樣分3桌要怎麼慶生，何況有3個小孩，也沒有沙發，有沙發起碼可以2個大人在小孩旁邊！我跟老公ㄧ入座想把我們的椅子挪開中間放小孩餐椅，服務人員馬上來制止，怕我們擋她收餐的走道吧！但我們都坐在這種最遠的天位了！於是我提出換6人座，他們說都客訂....！最後六人座始終空桌，也沒人理我們，後來老公姐姐晚到只好把兒子連嬰兒車放在我們那桌走道上讓我們照顧2夫妻先用餐，服務人員也沒來慰問，可能怕我們再要求換6人座吧！服務輸饗饗也輸旭集，連一般餐廳都輸，我老公早就在網路訂位時先付帳了，也不搞清楚還要來收錢跟問抵停車，可能怕作業流程被耽誤！錢用餐前訂位時已經付了，沒有給你們添麻煩吧！但找你們換位子幫不上忙！只會來打擾，停車我們要出去在抵也可以吧！6人座起碼可以多點人顧小孩，我們最後還是把蛋糕帶回家慶生了。沒有慶生，吃個飯也很麻煩，離取餐處遠，夫妻一個吃飯，一個想拿菜還要抱小孩走超遠去拿餐，因為沒摔傷小孩，客訴後有補償是ok,但我想說萬一有事是怎麼也不ok,還有請不抱著僥倖拍這種不人道的位子，人好的人表面不說話，但根本所有人人都覺得不方便！！！如果沒有位子就不要開放多人網路訂位，我們也有備註有3個小孩還這麼幫我們分3桌給這種天位也不事前告知～然後小孩摔下來當下爸爸有驚嚇到，也很生氣請服務人員離開，但服務人員真的一走了之，我真的有夠傻眼，一個嬰兒摔下來還這麼瀟灑！我真的不敢相信，一直從事服務業的我也一直在等是否有人來處理，等了至少5分鐘還真的沒人來，我才到櫃檯罵人！其實我客訴向來都是罵完不曾收補償，但我真的覺得這真的很欠一個教訓！"
nick chen,5,人潮洶湧，食物種類超多
鉅文陳,5,乾淨衛生食物美味。
Banana Wong,3,(由 Google 提供翻譯) 好....(原始評論)well....
張坤成,5,東西很多好吃
Keutys,5,食材新鮮，補貨速度快，東西種類多好吃
Yen Chun Liu,5,環境悠閒，服務佳！
St Liaw,5,服務態度很好，食物多樣又好吃。
張溫文,4,環境不大 選擇眾多 推薦來品嚐看看
chia chung chung,2,不行，咖啡難喝，肉怎麼有一股奇妙的味道，感覺不是七分是五分，紅酒太澀
朱軒軒,5,我依舊還是給5星，但是沒有意見卡我在這發言，今天下午茶時段，現切牛排與豬腳 生到我以為他在呼吸，太生了有點噁心
頌文,4,跟以前相比感覺有些食材和菜色被移去旭集和饗饗
賴佑銘,5,中午用餐人潮多 ，但場地寬敞 ，用餐起來還算舒服 。食材多樣、新鮮 ，大直店的冰淇淋是手工製作 ，質地細緻 ，可以吃到果肉 ！大部分需要工作人員拿取的餐點排隊不會等太久 ，以中午2.5小時用餐限制的時段來講還不算太趕 。
Joker King,3,補餐慢
樊啟豪,5,東西很豐富也很好吃讓人很舒服 值得推薦的一家店
Guo Ivan,3,海鮮明顯擺了一陣子，不新鮮了，炸蝦吃多易膩，懷疑油不好，以這種價位，外面還有很多更佳的選擇
秋子楊,4,菜色很多，好吃，但店內溫度太冷。
Chiou Green,5,場地乾淨，舒適，菜色新鮮好吃，值得推薦
吳依樺,5,海鮮很新鮮好吃，我看大家都拿很多盤蝦子XD 帆立貝跟生魚片大推：）菜色種類多樣，甜點也好吃，尤其是葡萄柚跟小泡芙不推薦的是他們的雞尾酒，甜到噁心QQ
楊文德,5,在台中特地上去台北吃得，跟台中真的差很多，台中種類少，吃個一兩輪就不知道要吃什麼了，但在這裡吃到時間結束都還不容易膩~
張先生,5,私人聚會
Maosung Tang,5,料理多樣好吃
chan james,5,(由 Google 提供翻譯) 好吃cp值高(原始評論)好吃cp值高
周惠貞,4,每次團體去安排的座位都比較裡面，拿餐食走很遠
曾祖父,5,(由 Google 提供翻譯) 很多好吃😛(原始評論)很多好吃😛
謝淑華,4,大直｜饗食天堂好吃到爆的焦糖葡萄，我可以為了它再訪，當然其它的品項也很不錯，品項的補充速度也很快！ ⋯⋯更多大直｜饗食天堂好吃到爆的焦糖葡萄，我可以為了它再訪，當然其它的品項也很不錯，品項的補充速度也很快！#台北市中山區 #饗食天堂 #大直#家人聚餐 #好吃到爆的焦糖葡萄柚#饗食的甜點很可以#令人驚艷的百香果雪酪#跟家人在一起哪裡都好#謝謝你們的陪伴
灰饅頭,5,改裝過後變好吃了服務態度好 服務生跟廚師都很親切沒有哈根達斯了 但新的冰淇淋也不錯吃甜點變得有點少 但整體來說還是很不錯
KennyChi,4,基本上種類變得更多元了 尤其壽司還有鮭魚卵 熱炒類跟炸物燒烤好評雞尾酒非常好喝 也多了現打果汁 比京站點好吃 甜點改的很糟糕 存放環境任人夾取讓人毫無食欲 泡芙放在木櫃也不冰涼 之前服務人員拿還比較好 哈根打死不見了變成手工冰 除了抹茶其他都呃....總之如果改善甜點跟冰品 然後冰的茶飲再多一些 真的會讓人想再去
YIH-JENG LIN,1,1.補菜速度極慢2.一堆人未帶口罩去拿菜，也未制止3.食物未加罩，任由口水噴濺上去4.假日工作人力嚴重不足，補餐具食品速度極慢
何嘉錡,5,種類好多吃好飽
如欣,5,以目前吃到飽來說，算豐富的❤️服務優
Melody Liu,1,今天和先生帶著小孩去用餐，東西很好吃，但櫃檯的人不知道是怎樣態度很差一點笑容都沒有（服務業笑容不是基本的嗎？）結帳完還趁我們要進電梯前大聲訕笑（原本都很安靜不知道是在笑什麼）我一回頭看她們就安靜，不知道貴公司的櫃檯人員是怎麼訓練的素質這個樣子？？？果然某些評論說的服務人員會說客人壞話看來是真的呢😊 ⋯⋯更多今天和先生帶著小孩去用餐，東西很好吃，但櫃檯的人不知道是怎樣態度很差一點笑容都沒有（服務業笑容不是基本的嗎？）結帳完還趁我們要進電梯前大聲訕笑（原本都很安靜不知道是在笑什麼）我一回頭看她們就安靜，不知道貴公司的櫃檯人員是怎麼訓練的素質這個樣子？？？果然某些評論說的服務人員會說客人壞話看來是真的呢😊是看到我跟先生年紀差距比較多就想一堆有的沒的變態思想嗎？果然低素質的人都這樣呢，遇到會有這種想法的要不是櫃檯的不然就是美髮業，看來低社會階層的人都這個樣子呢
謝閔凱,5,食物豐富、好吃，而且空盤後補充速度很快。烤牛肉及日式鹽烤香魚非常夠水準。
hsu mel,3,改裝以後有好一點，烤鴨捲餅比饗饗好吃為什麼！湯品多樣美味，饗食應該只有這裡提供西瓜汁，是我的最愛加一顆星，烤牡蠣 焗烤起司牡蠣 鐵板蝦很難吃到，感覺很不好！
鄭雯方,3,炸蝦好油又軟軟的有點噁心，蛤蜊有新鮮，濃湯的酥皮不是我喜歡螺旋狀的那種有點失望，點心種類也沒有Att的多，冰淇淋的餅乾是軟的~暈這次沒吃什麼就離開了，應該不會再光顧了
秦雅玲,2,饗食天堂食材變Low了價錢變貴了水果變Low了 ⋯⋯更多饗食天堂食材變Low了價錢變貴了水果變Low了生菜沙拉也沒有小黃瓜和小玉米連女兒最愛的甜點也變少了
余柏翰,4,個人認為食物還不錯吃，但是假日人不少
yu yu,5,👍👍👍
陳建豪,4,樣式多元
Frank Wang,5,讚
sumarni harun,5,(由 Google 提供翻譯) 安加特好(原始評論)Angat bagus
林煊,5,環境優美，比起101那家，更喜歡這間的用餐環境
呂耀順,1,額溫槍撞到額頭了  是有必要這麼近?
Pinru Chen,2,這次用餐時間是平日晚上17:30準時入座，很失望，品管明顯下降，和2年前吃的品質差很多。1. 食物部分，缺點:除了熱炒湯區，其他熱食皆為涼，炒蛤蠣很多沙，口感不太新鮮，用很多醬汁炒蓋過不新鮮感；鴨肉好硬、乾；炸物部分每樣都太油；凱薩沙拉生菜裡的麵包酥是軟的、軟的，沙拉口感覺得像冰有些時間，然後沙拉冷盤那區，總是有汗臭味、抹布臭味，不知道是否為起司味，還是環境整潔需加強? ⋯⋯更多這次用餐時間是平日晚上17:30準時入座，很失望，品管明顯下降，和2年前吃的品質差很多。1. 食物部分，缺點:除了熱炒湯區，其他熱食皆為涼，炒蛤蠣很多沙，口感不太新鮮，用很多醬汁炒蓋過不新鮮感；鴨肉好硬、乾；炸物部分每樣都太油；凱薩沙拉生菜裡的麵包酥是軟的、軟的，沙拉口感覺得像冰有些時間，然後沙拉冷盤那區，總是有汗臭味、抹布臭味，不知道是否為起司味，還是環境整潔需加強? ；甜點部分，紅茶戚風蛋糕沒紅茶味、除了烤布雷，其他都死甜。優點: 果汁類都不錯喝、新鮮，很推柳橙、芭樂汁，湯類推魚肉、牛肉湯。2. 廁所部分需多加定期清潔，17:30進來先去洗手間，但女廁就有2間馬桶未沖，而且是糞便，整間廁所都是味道，希望能頻繁定期清理。3. 服務態度部分是真的很好，會主動詢問需求、清盤，也希望整體品質也能像人員服務態度一樣好。
阿蕾,4,餐點都很新鮮好吃，但是假日人潮洶湧，很多菜色來不及補，如果可以，儘量別在假日來。停車方便，但是停車費折抵門檻高，消費近3000元，竟然還要補停車費15元@@
Sky Giwen,3,菜色多，座位多，服務多點笑容更好
廖昌晧,4,好吃，但選項比預期的少一點
Bob Liu,1,"中午前往用餐, 11:30~14:00是用餐時間, 但13:15分左右服務人員就想<清空>我的桌面, 感覺有點不舒服, 希望能等我用餐結束離開後再收拾."
Matthew Chang,4,食物感覺素質相較以往的比較起來有些退步
Bonnie lin,3,主要招牌菜色全變了，焗烤生蠔、現煎羊排、干貝都沒了，取而代之的是現炒意大利麵？？？全家人都很失望😞，還好還有現切德國豬腳、牛肉口味不錯，不過應該不會再訪了。
Hank Hsieh,5,食材新鮮，百吃不膩
高青萍,4,地方寬敞、明亮，取餐區乾淨，服務態度好，
陳小光,4,(由 Google 提供翻譯) 好吃好吃(原始評論)好吃好吃
洪佳鈴,5,好吃又衛生
小雨,3,感覺不如預期⋯⋯
sapphire ROSE,5,今天晚餐非常滿意，用餐環境很整潔，餐點非常豐富多樣化，可惜食量不夠大，不然每一種都想嚐嚐看，從開胃菜到主餐、甜點都有一定水準，不會輸給其他一千多的自助餐，今天只有覺得蛋塔口感比較乾，其他都很滿意～服務生和廚師也都很親切，收餐盤的時間點也很準確，真的非常推薦大家可以平日晚餐來用餐，比較不擁擠，可以輕鬆自在的享受餐點
陳大偉,5,各式美食吃到飽 啤酒喝到飽
Jacky Lai,5,食材新鮮補菜速度快，用餐環境開擴舒適，停車方便。
Laurie Chen,4,食物種類會隨季節變化
28375720 WT410119@gmail.com,4,我和內人皆喜歡吃饗食天堂
anna chang,4,食物很不錯，但可惜當月甚至是當日的壽星給的折扣超少，95折連服務費都無法抵完，誠心希望店家可以給壽星更多折扣
呂大頭,4,這裡的食材比我上次來還新鮮，服務生整理速度快，菜色還需再加強，甜點蛋糕比較差，環境還是輕鬆無壓力的感覺
一ㄌ,5,服務超好(❁´◡`❁)餐點也很用心|ω•`๑)還會想再光臨(⁎⁍̴̛ᴗ⁍̴̛⁎)
黃敏芳,5,很豐盛選擇性很多食材鮮服務人員很👍料理現煮魚湯或現燙牛肉湯好喝每樣食物都好吃連蛋糕水果沙拉和飲料和咖啡都很正點最👍的是價錢不貴很合理吃的很開心~
上野寺,4,菜單從新設計過後 吃起來就是不一樣了
王維彬,4,整體都不錯餐點豐富也美味少一顆星 ⋯⋯更多整體都不錯餐點豐富也美味少一顆星是因為冰淇淋太差把哈根達斯弄回來吧
王釧源,4,場地寬敞，唯人多時，補菜速度略慢
apple Huang,5,海鮮新鮮好吃、補菜很快
游振發,2,我上星期日去吃發現菜色越來越少了有的東西現在已經沒有了生魚片越來越小塊了飲品太少了干貝已經沒有了雞肉料理太少了我以後再不會去吃了我太失望了
Silver雪,5,下午茶菜色好到比其他家buffet晚餐還好，日式餐台有各式生魚片.壽司還有基本的炸物，比較推薦的是炸蝦.照燒雞腿及唐揚炸雞，中式餐台有其他家響食沒有的燙牛肉湯及燙魚片湯，不像某些buffet店燙牛肉會莫名的腥味，這裡的肉很嫩且湯頭加上一點薑跟聰就有足夠味道了，平常不怎麼喝湯的人都魚跟牛各喝了一碗，西式餐台五重起司披薩起司味真的很濃厚跟外面的披薩店比也不會輸，而且特別的是還有可以自己夾菜現作的義大利麵，比較可惜的是聽朋友說有燉牛肉可是忘記拿了。
郭銘峻,5,性價比高 精緻美食 用餐環境佳
張藝曦,5,空間大，餐飲多樣，雖然味道只有中等，但很適合聚餐。
Angela C.,5,用餐的時候看到一位客人不小心打破杯子在地上，旁邊兩位服務人員迅速趕過來處理，先把碎片集中起來請其他客人小心不要踩到，然後快速的拿了掃把畚箕把所有碎片清乾淨，整個過程五分鐘十分快速專業，讓人覺得是不是演練過類似的SOP幾百回😂很棒的處理！
Han Hsuan Yin,4,菜色比起幾年前感覺有點退步，炸蝦跟焗烤生蠔都變小隻了，熱炒拿不到，烤鴨皮不脆，生魚片跟烤物還可以。
liyang hsieh,5,饗食天堂的特色都一應俱全，服務與座位都到位，各式不同風格的菜色各領風騷，豐富的食材與廚師精心製作，給大家滿滿的營養與味蕾享受。
Yao,4,餐點多樣化，食材用料實在，服務人員專業熱情，用餐好所在！
Sang Kang Yang,4,大致上還不錯，幾乎所有的buffet該有的都會有，在此可以不急不徐的慢慢品嚐而不怕趕時間！
楊振弘,5,吃飯聚餐好地方！
呂雨珊,5,裝潢漂亮、食物好吃、服務好，爸媽都很喜歡，也吃得很開心。
張人驊,4,北麥哦
李泳翰,5,沒什麼蛋料理
侯岳葦,5,今天用餐真的是很愉快，真的感謝那位切烤牛肉及豬腳的那位工作人員，服務真的很貼心
123索尼克,4,午餐價格現在算便宜了(和漢來比較的話)，並且菜色也有進步，以前可能最後剩蛤蜊湯能喝，現在多了羊排和天使蝦，不過冰品聽說變成不是自助的哈根，而是現場現做，感覺不太行的樣子
黃德利,3,中高價位，烤牛排令人驚艷，但烤生蠔及炸蝦個頭太小了，排隊等待太久不值得。
CoCo的日常筆記,3,更新：app扣2星，常沒登入點數，下午茶也沒紅白酒了。7/14更新:改裝，推紅茶戚風蛋糕，甜點服務生由不耐煩的阿姨換成親切的男服務生💯 ⋯⋯更多更新：app扣2星，常沒登入點數，下午茶也沒紅白酒了。7/14更新:改裝，推紅茶戚風蛋糕，甜點服務生由不耐煩的阿姨換成親切的男服務生💯更新：增加app徒增麻煩，不如當場折扣全台cp值最高貧民美食，感謝響食的小確幸，但近期下午茶品項減少兒童的友善價位，直接五星💯菜色多且提供酒類😍🍺
黎永揚,4,菜色豐富這次的菜單上的調整層次上更多的不同享受，氣泡酒也很讚多樣的飲料選擇，冰品希望有多些品牌或口味，維一缺點希望補菜能夠快些
Dawn Yu,4,缺點：尚未使用的筷子和碗都看到油污，疑似沒洗乾淨。推薦：烤天使紅蝦.鴨肉粥.現沖魚片/牛肉湯.焦糖烤布蕾.烤葡萄柚.土瓶蒸.烤玉米筍.現打果汁。
Amy Chen,2,晚餐7:30入座，生魚片空的、啤酒杯空的、紅白酒杯空的、生牛肉空的、牛小排空的、土瓶蒸空的。補都幾片幾片補而已、杯子等了超久。說吃到9:30，9點硬收盤子、9點15收杯子，9點半用廣播趕人。如果客人只能坐到9點半，請你們付給員工薪水到10點半可以嗎？讓他們等我們走了再來收不要時間沒到就一直趕人ok?! ⋯⋯更多晚餐7:30入座，生魚片空的、啤酒杯空的、紅白酒杯空的、生牛肉空的、牛小排空的、土瓶蒸空的。補都幾片幾片補而已、杯子等了超久。說吃到9:30，9點硬收盤子、9點15收杯子，9點半用廣播趕人。如果客人只能坐到9點半，請你們付給員工薪水到10點半可以嗎？讓他們等我們走了再來收不要時間沒到就一直趕人ok?!1顆星給鮭魚好吃、1顆星給幫我們拍照的櫃檯，不能再多
Thomas Tang,4,(由 Google 提供翻譯) 正常的芭菲(原始評論)正常的芭菲
Chang Chien,5,餐點算不錯位子也很多但是排隊入場的時候有點混亂，幾百人擠在外面
W. K. TAI,1,環境又吵又亂，除了甜點還ok之外，其他真的不好吃，更慘的是吃完還拉肚子… 😭😭😭
Denny Lee,4,下午茶，菜沒有很多，可能就是生魚片最有爽度了
Jay Wu,5,很不錯，東西補的很快，座位很多，寬敞，果汁都很好喝，新菜色也好吃，午餐有紅白酒，台啤，很讚。
strike witchesch,4,個人今日享用平日午餐，整體來說對得起這個價格，多的新菜色區，如義大利麵區等不會有濫竽充數之感，原有菜色區的水準都有提升至少也維持水準，個人覺得比較起來疫情這一年少數沒退步卻略有進步的buffet餐廳（個人覺得最值得肯定的是同集團的果然匯，進步幅度最高，看最近好像還多了植物肉餐點，下個月考慮回訪），不過這邊冰淇淋也已經改成該集團的手作法式冰淇淋，沒有哈根達斯了，我是覺得不比哈牌差，但若再意這部分的可能得多加考慮一下。
夏夢涵,4,服務依然很好，東西有變好吃~但唯一一點不滿的就是冰淇淋，要弄自製就要搞好吃點，甜到一個無法入口，真的要好好調整，不然請把哈根大支弄回來吧。。。。
唐沛宏,3,服務不錯 但餐點質感及樣式真的還好
杰,1,女服務人員真的太爛了，一直來收東西打擾用餐，趕下班的感覺讓人絕不會再來第二次
楊宗敏,2,還好
洪慧茹,5,菜色豐富
沈多利,5,(由 Google 提供翻譯) Cp值好高😏(原始評論)Cp值好高😏
Paul Chang,4,今日辦公室聚餐吃的很開心海鮮種類跟品質皆不錯 ⋯⋯更多今日辦公室聚餐吃的很開心海鮮種類跟品質皆不錯幾個服務人員顏值亦佳很對得起它的價位!
蔡泳銘,4,重新裝潢、食材依舊像極了愛情
Alice Chen,3,7月改裝後來用餐假日剛好遇上父親節，整場滿座中午約12點入座，可用餐至14點 ⋯⋯更多7月改裝後來用餐假日剛好遇上父親節，整場滿座中午約12點入座，可用餐至14點改裝後現作餐點變多了但不確定是人手不足，還是刻意限制數量每樣餐點都要等滿久的而且還不見得吃的到每回取餐時都有一半的空盤來不及補現烤牛排好吃，鮮嫩多汁，不會很難咬或咬不斷現烤及焗烤生蠔還不錯，但要一直站在那等才拿的到烤鴨捲餅很推薦，鴨肉軟嫩不柴，好吃現作義大利麵很喜歡白醬很對我的口味可以自已選配料和麵現燙牛肉湯滿失望的，湯不是很熱沖完後味道很淡，沒有牛肉的香和鮮甜味顏色也和網路上看到的差很多，特別淡炸物和烤物都滿不錯的，魚肉很鮮甜同樣也是烤/炸的速度比不上拿的速度一半空盤，只吃了幾樣最後，甜點區的動線非常不好點心區左右兩邊各是冰淇淋和現作甜點兩者皆需排隊也因此，排隊的人把整個甜點區都擋住了!拿甜點都要道歉、借過、擠進去才拿的到.....且排隊的人一直在聊天，甜點有一大半都裸露在外比較喜歡原來的甜點櫃，改裝後取餐體驗不是很好但還是想推薦一下焦糖葡萄柚，很值得嘗試的甜點喜歡吃甜點和水果的建議不要太晚去拿可能因為在準備下午茶時段的東西最後半小時都沒什麼在補了一半都空的，失望.....來吃了滿多次饗食天堂第一次過節來吃，人真的好多補餐速度太慢，很多都沒吃到，滿可惜的
李忠達,3,生蠔補滿快的～調酒跟飲料好喝
Yu Ying Chen,5,1.車，可停放在家樂福停車場。2.消費可抵停車費。3.菜色豐富，服務員親切。4.現金、刷卡皆可。
翁豐駿,5,好吃 服務親切
林語謙,5,裝潢雖然沒有改變，不過菜色有改進不少，例如焗烤生蠔不再那麼鹹，鹽烤生蠔也不錯，但稍微乾了點
德聦張,3,食材新鲜，多樣，服務尚好！
吳仰妤,5,請問， 有沒有興趣 ，另闢一區 蛋糕吃到飽目前市場上蛋糕吃到飽的店 ，幾乎沒剩幾家了 ⋯⋯更多請問， 有沒有興趣 ，另闢一區 蛋糕吃到飽目前市場上蛋糕吃到飽的店 ，幾乎沒剩幾家了有時候我只是想吃甜食不吃其他的饗食天堂的蛋糕 我覺得真的很不錯請造福大眾吧～拜託
irene,4,鐵板區有現煎牛小排.羊肩排.天使紅蝦，最愛天使紅蝦，新鮮口感Q彈，其次羊小排，焦香美味湯類有現沖魚片湯.牛肉湯；現煮蛤蠣湯；雞湯.泰式酸辣湯.濃湯.土瓶蒸⋯現煮的最好喝 ⋯⋯更多鐵板區有現煎牛小排.羊肩排.天使紅蝦，最愛天使紅蝦，新鮮口感Q彈，其次羊小排，焦香美味湯類有現沖魚片湯.牛肉湯；現煮蛤蠣湯；雞湯.泰式酸辣湯.濃湯.土瓶蒸⋯現煮的最好喝日式生魚片.握壽司，不是我的菜；炸物區-炸蝦好吃烤物區-烤綠竹筍.鮭魚骨.烤蝦.很不錯甜點區-波士頓派.泡芙.芒果奶酪.烤布蕾.提拉米蘇都還滿好吃的以這個價位來說，cp值算高^^
莊舜如,4,新裝潢後，骰子牛變好吃了，但是白蝦還是冷凍的口感，需要再加強
曾信璋,3,改裝後可能還在試營運，品質口味比以前差很多該熱不熱，該軟不軟，cp值雖夠，口感調味及烹煮技術對我而言不佳，生魚片很新鮮。
眷戀星與海的雁惜,4,平常日的中午，人就頗多的，餐點內容令人滿意，但仍感覺到某些空虛，或許是假日與平日的不同吧
楊御辰楊御辰,5,食材新鮮好吃
大熊,5,改裝後 第一次去吃假日下午茶 人超多 有不少新菜色人多 熱門的餐點要排隊 雖然有點辛苦  但每道菜都非常好吃工作人員很忙錄 服務態度還是很好 ⋯⋯更多改裝後 第一次去吃假日下午茶 人超多 有不少新菜色人多 熱門的餐點要排隊 雖然有點辛苦  但每道菜都非常好吃工作人員很忙錄 服務態度還是很好唯一小抱怨 最後要挖冰淇淋時大排長龍 等到我時 冰淇淋 好幾桶都快見底了不過還是很值得去吃
陳麗容,4,每次都有不同驚喜，季節菜色豐富，適合家人朋友聚會。
陳彥良,4,還行
Maxwell Liu,4,下午茶，不錯吃。菜色及種類來說，應該算是平價中還可以的。
梁小顯,5,2020/8/6晚餐時段我們坐A32-33的位子服務人員服務得很好，速度很快動作乾淨俐落 ⋯⋯更多2020/8/6晚餐時段我們坐A32-33的位子服務人員服務得很好，速度很快動作乾淨俐落感覺用餐很開心很舒服很開心遇到很棒的服務人員
hu ken,4,食物還可以，沒吃過可以嘗試看看
張瑋玲,4,食材豐盛，熟食生食、蒸、煮、烤、冷熱飲、酒類、蔬果、、、、、服務員親切，努力維持清潔。
林詩蓉,4,一個月吃兩次 食物都很新鮮種類我認為比我以前既有的映像多了更多而且也變的更好吃了😂 ⋯⋯更多一個月吃兩次 食物都很新鮮種類我認為比我以前既有的映像多了更多而且也變的更好吃了😂但第二次吃感覺跟第一次差很多電話訂位有說明要兒童椅 到現場安排的座位沒有更換讓人等了一下 再來兒童餐具沒洗乾淨 用濕紙巾擦拭有一層污垢🤦🏻‍♀️因為當天人多 所以也不想為這小事打擾服務人員但還是希望能改善清潔的部分😃
高悌龍,4,清潔度可。菜色以熟食類為主，雖有生魚片但顯然非主力供應類別
Wei Liu,4,用餐環境舒適，菜色多樣化，水果汁非常好喝
徐光明,3,很久沒去了，這次慶祝父親節再次前往用餐，感覺上沒以前好吃，而且吃下來覺得還是欣葉比較好吃，菜色種類雖然不少，但是沒有特別覺得哪一道特別好吃，魚下巴跟欣葉不能比。
黃凌雲,5,食材很有誠意，廚師手藝不錯，果汁現榨，竟然在夏天可以喝到台灣柳丁汁，生食區種類多，現做義大利麵食材自己配，CP值高。
劉麗莉,5,假日來用餐發現有新菜，不錯吃色很棒👍
Amo,4,常常光顧，第一次遇到這麼多人的情況，補菜速度要加強，後續品質也要注意一下，吃到咬不斷的羊排跟骰子牛，生食區很多食物都散亂在夾取檯面上，需要多注意
林餅乾,3,人太多了😵 菜色不多，肉質感覺不新鮮，價格沒有反應在品質上。請服務人員拍個照，心不甘情不願的。
Coboma,2,老實說，真的很普通，飲料也沒有好喝的，酒也放很久、啤酒機甚至整晚壞掉，大概只剩下冰淇淋還能吃吧。
黃炫融,4,新菜色換的還不錯
Duke H,4,是真的有那個價值，食材夠優，調理也非常有水準
康康,4,感覺不錯
Kenny Yang,4,(由 Google 提供翻譯) 食物美味！(原始評論)食物美味！
Jerry Tsai,3,竟然沒有奶茶 ...... 炸物既乾且柴
Ervin Wang,5,以這個價位能吃到如此多樣性又高品質的buffet，台北市應該沒有其他選擇了
GH WANG,5,空間寬敞，不會有侷促感，食材豐富，品質不錯。
SH,2,餐具都沒洗乾淨
