評論者,評等,評語
Bu Poly,4,2020/8 平日的禮拜一的中午來這裡用餐，大概有八成滿以上，我會來是因為公司部門老闆請客從蔬菜開始吃，所以我吃了蠻多樣，各式的牛肉豬腳蝦子日本料理…熱食港點都有吃到 ⋯⋯更多2020/8 平日的禮拜一的中午來這裡用餐，大概有八成滿以上，我會來是因為公司部門老闆請客從蔬菜開始吃，所以我吃了蠻多樣，各式的牛肉豬腳蝦子日本料理…熱食港點都有吃到現做牛排的部分，是每個人排隊的重點，但是我覺得普通德國豬腳還不錯印度咖喱區，都非常不錯港式的點心，還好日式有一排熟時區，跟一排生魚片壽司區，大致上普通，一定要說的話比目魚灸壽司是非常不錯熟食的部分牛肉，魚排，還不甜點的部分生巧克力也不錯，你有不少人吃舒服雷還有不少人會點葡萄柚上面烤焦糖，我覺得是中看但是吃起來普通強烈建議大家一開始先吃一點生菜，配上他的黑橄欖，淋上一點義大利的油醋，不要配濃烈的凱撒醬每一次一盤只選一兩樣小東西，吃完再走一走順便也可以再多吃一點，不要一盤吃一大堆，美食的味道也混在一起了，而且兩下就飽了。嚴格來說七八百元 ，這樣的自助餐，覺得是普通。建議專注他的印度料理，配上一些比較需要技術的小東西，以及他的生菜以及他的甜點，不要花時間吃到別的東西
Chin-Tung Liao,5,生鮮食材還ok，熱食燒烤飲料水果甜點都是我喜歡吃的，座位走道空間不會擁擠，吃得很愉快開心。。。。只是收費有點高，還能接受。
林維尼,4,比以前未破千時好吃很多，湊數的菜少很多，進步好多。
Shan Chang,5,好吃好吃好吃好吃😋饗食天堂忠實顧客已經吃過很多家店 ⋯⋯更多好吃好吃好吃好吃😋饗食天堂忠實顧客已經吃過很多家店口感差不多（個人覺得）就是好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃好吃😋
呂俊宏,3,種類很多，甜點飲料很好吃
pang chang liu,5,很久沒去，比以前好吃了
李美慧,5,其實我一直是饗食的忠實客戶，這一次去之前還想說會不會踩雷和膩，結果非常完美出乎意料的好吃，所有食材都很新鮮，南洋風味料理很解暑熱，服務和氣氛也到位，值得一來再來
wang paichieh,4,(由 Google 提供翻譯) 超多美食可以享用(原始評論)超多美食可以享用
欣宇,4,很不錯
辛福生,3,餐色還可以
汶汶,3,剛入座時 ，不知道是不是中壢店是否有先取餐的規定？才剛坐下服務人員口氣很差的催促我們取餐 ，寶寶椅也還沒拿來也催促著小孩也要去拿餐、之前在桃園店，也沒有這樣的經驗，何況小孩才4歲如何取餐？ 你寶寶椅也還沒送來 就直接把小孩的椅子抽走孩子的媽和孩子就站在原地等這位服務人員拿寶寶椅 ，我們的時間不是剛入場就開始算了嗎 ，並不是我們取餐才開始算吧 ⋯⋯更多剛入座時 ，不知道是不是中壢店是否有先取餐的規定？才剛坐下服務人員口氣很差的催促我們取餐 ，寶寶椅也還沒拿來也催促著小孩也要去拿餐、之前在桃園店，也沒有這樣的經驗，何況小孩才4歲如何取餐？ 你寶寶椅也還沒送來 就直接把小孩的椅子抽走孩子的媽和孩子就站在原地等這位服務人員拿寶寶椅 ，我們的時間不是剛入場就開始算了嗎 ，並不是我們取餐才開始算吧 ？所以我們何時要取餐應該是我們的自由吧？何況屁股都還沒坐熱..給三星是其他服務人員的態度都很好，餐點也不錯。
簡小兔,5,慶祝節日生日的首選
劉姬兒,5,食物豐富好吃，服務又好！
張格赫,5,提前慶祝父親節~
連恆德,5,👍👍👍
kun lin,5,聚餐聚會吃飯的好去處
李昭賢,5,喜歡彈珠汽水調酒
Ogo Y,1,生魚片和蝦只擺一些就不再出了，吃到飽騙很大!
林來興,5,很棒的用餐環境，服務人員也很親和，常常來清理桌面，維持用餐好氣氛！
游忠銘,5,東西好多 也很好吃
Tzu Yeh,4,個人推薦櫻桃鴨、地瓜甜在心、蘆薈甘露，整體豐富度略輸漢來海港。甜點有待加強，選擇性很少，吃起來普通。 ⋯⋯更多個人推薦櫻桃鴨、地瓜甜在心、蘆薈甘露，整體豐富度略輸漢來海港。甜點有待加強，選擇性很少，吃起來普通。不過環境明亮舒服，顧客位置之間不會過於靠近，能夠自在的聊天。
Chen Huang,5,用餐環境寬敞，舒服
徐榮毅,3,甜點需排隊由工作人員拿出，無法自己取用，感覺不好（感覺怕人吃）。
陳福元,5,食物都很高級
李喬予,3,還不錯，但餐點重復性有點多
Joseph Pai,5,相當不錯。
陳若微,4,(由 Google 提供翻譯) 普通的好吃(原始評論)普通的好吃
許純瑜,5,好吃，有很多東西
張張子傑,4,(由 Google 提供翻譯) 好吃(原始評論)好吃
朱家宏,2,味道沒有想像中的那麼好
吳正華,4,軟硬體及服務很好，但還有提升空間，雖然價位算高，但不輸其他同業。建議應該多推廣不定期用餐優惠。
廖實現願望,4,種類很多 新鮮 好吃
楊美桂,4,小鳥胃的人來此太不划算了😆很喜歡小小杯的蘆薈甘露（即新鮮蘆薈果粒+檸檬汁），連喝了4小杯~好不過癮啊！甜點區的服務員阿姨，人超有禮貌、超nice的，非常有專業素養~ㄧ級棒👍…覺得從她手上接過甜點是一種很sweet愉悅與被祝福的氛圍享受（thanks  you）……😉😊
楊福有,5,(由 Google 提供翻譯) 新鮮的食材非常多，會選擇好多自己喜歡的食物，而且從來沒有間斷過。服務人員也非常親切。價格嘛，1000塊吃到飽我覺得還好。(原始評論) …更多(由 Google 提供翻譯) 新鮮的食材非常多，會選擇好多自己喜歡的食物，而且從來沒有間斷過。服務人員也非常親切。價格嘛，1000塊吃到飽我覺得還好。(原始評論)新鲜的食材非常多，会选择好多自己喜欢的食物，而且从来没有间断过。服务人员也非常亲切。价格嘛，1000块吃到饱我觉得还好。
王麗文,5,食物種類繁多，佳餚味美，服務佳，值回票價。
永仕,3,太晚去用餐會有不好的經驗
Hero Ryu,5,美食選擇多，用餐時間長
李德安,4,服務態度不錯，菜色多
Li Luckdk,4,服務不錯，晚餐菜色可以，沒有特別高檔食材算可惜一點，蛋糕種類比之前少，可以再進步
黃小棟,4,"空間寬敞,座位間距大,食材還ok"
黃文泉,4,"坐位寬鬆,食材新鮮!停車位好停,美食指數高!"
Nancy Chung,4,看起來東西不多，實際上，多西不少，吃起來還超飽
徐小姐,4,比剛開業時進步了
葉昭男,5,蛤蜊湯好喝
波波妞,5,好吃，東西很多，適合聚餐
高筱晴,5,下午茶選擇種類很多 所以偶爾吃 感覺不賴
梁永慶,3,服務生完全心不在焉的，居然在我去取食物時把所有餐具飲料都收光剩下桌面上的那張紙，是說這天是大家都直接用手抓？
zara chung,4,食材新鮮，多樣，員工態度親切。
卓瑞玲,5,(由 Google 提供翻譯) 食物很多也好吃(原始評論)食物很多也好吃
Maggie Lee,3,"已去過多次， 人員的替換度亦高 這次到桌結帳的""管理階層""人員?  問及如果當日生日是否...... 回覆的狀態少了份熱誠與服務業的敏感度 ，全場放生日快樂歌時，還得自己再次前往提醒是否可以送塊蛋糕，希望壽星到餐廳用餐能多少有點開心於被重視感....這種事卻需要客人自己前往提醒的狀態，很是無言可以有感點?"
王吉川,3,(由 Google 提供翻譯) 普通(原始評論)普通
ChiHui Liu,5,菜色一直都有變化，服務人員的態度也非常好
江鈞源,4,覺得用料可以在更好
花鳥風月Ouo,1,糟糕的訂位體驗
Yu-Cheng Chen,4,不錯哦，跟三年前比菜色提升了很多，但是飲料真的不好喝，果汁很淡，奶茶很不奶，另外甜點也希望可以再多樣化一點，現有的甜點實在不優質，感覺只比貴族世家等級好一點，飲料甜點提升一點就能很完美了。
火鳳凰,4,食材不多，容易排隊等候。
薛秀莉,4,選擇多，有冰咖啡了
方俊雄,4,讚
波峰Barry,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
游話說,5,讚！
Emily Wang,5,餐點種類多、生魚片炸物壽司好吃、蛋糕也不錯、補菜更新速度快、服務態度也不錯、應是吃到飽餐廳首選
Hsin Chang Chung,4,(由 Google 提供翻譯) 好吃(原始評論)好吃
Yujen Lien,5,以北部各家饗食天堂來看，這家補得快，菜也相對好吃一點
techlgb Lin,5,中壢最佳吃到飽餐廳
陳春姬,4,甜在心地瓜，CP值高，超讚的!
Marry Wang,5,下午茶的好去處。很棒
呂坤哲,4,還算可以服務態度➕，壽司區推，甜點推，可以喝喝他們的調酒，還算可以除了紅色的，其他看看就好。喜歡在夾
Hsieh Ben,5,(由 Google 提供翻譯) 骰子牛，好吃！(原始評論)骰子牛，好吃！
Chih-Yu Chuang,5,餐點種類繁多、美味可口且服務很好。
張羿訢,4,(由 Google 提供翻譯) 很好 菜式多(原始評論)很好 菜式多
陳伯銘,5,黑鮪魚好吃
王于恬,2,今天第一次去消費離峰時間過去的打烊前20分鐘左右菜色跟冰就差不多開始收了 ⋯⋯更多今天第一次去消費離峰時間過去的打烊前20分鐘左右菜色跟冰就差不多開始收了雖然進場時櫃檯有說可以跟服務人員說請他們現做但是詢問時服務人員說已經冰起來 不免覺得不好意思 建議還是提早過去大部分的服務人員態度都不錯但是有些真的態度差到一個 不會想再二次消費畢竟是屬於較高價位的餐廳 也有收取服務費部分人員素質真的需要再教育...
曾其敏,5,一進到餐廳裡，就感受到餐廳貼心的服務及親切的態度，從食材的堅持、料理方式的講究。
心在動,5,為了黑鮪魚拼了 脊椎剛手術完不到40天 腳還不能走路吃著止痛藥硬是來吃 餐點大致上都不錯 我特別喜歡甜點 餅乾 冰淇淋 真的很好吃 尤其他的餅乾熱熱的 讓我想起以前在美國唸書時 朋友家辦party 女主人都會現烤一大盤餅乾 也感謝兩個朋友陪我來 其中一個還請半天假 我拿了2-3趟後 就都叫他們幫我拿我想要吃的 吃一個半小時就吃飽了 聊天又聊了一個半小時 晚上真好5:30吃到差不多9點才離開
Mei Hung,4,美食無誤👍
蔡誠修,4,好吃，除了價錢外很值得
林榮昌,4,服務蠻親切的
陳小玲,5,服務生都很親切，菜色多樣 環境好非常喜歡帶孩子來
巫宗樺,1,兩個月內去兩次，生魚片都不ok
花一郎,3,有點退步，餐點未能上齊
[實容104甲]廖于萱,5,餐點多樣化，品質很優，餐點美味，服務很好
Su蓮子,4,環境不錯，餐飲普普有待更好
華思寧,4,雖然漲價但食材有比較好，天使紅蝦好好吃， 飲料也很好喝
侯熙羅,5,中壢最佳buffet點，服務佳，疫情防護優，烤物好吃。
無名,3,環境還不錯！下午茶訂2點半，去到現場還是在排隊，量額溫完還是在排隊，到位置上已經3點了！到4點半算2小時，4點開始已經在收拾桌面，餐具也陸續收走⋯⋯ ⋯⋯更多環境還不錯！下午茶訂2點半，去到現場還是在排隊，量額溫完還是在排隊，到位置上已經3點了！到4點半算2小時，4點開始已經在收拾桌面，餐具也陸續收走⋯⋯讓人感覺不是很好，還得告知還要使用！這樣算起來用餐並沒有2小時整的時間啊！甜點區要管制很不方便！要吃還得告知，要人家夾才可以！感覺不方便！
卓琇琇,2,感覺越來越差了，價位太貴食材沒什麼改變
Ivy CHAN,4,不錯！食物新鮮！家人吃得開心什麼都好
賴亭瑄,4,菜色多樣化
Claire Hsu,4,餐點多樣，用餐環境舒適……😊
李宗霖,5,服務人員很親切，整體消費是舒服的。
lollo Su,5,外帶的餐點，這次點兩份歡樂分饗自由配(每份999)和一份日料雙饗(699)。原本想5大兩小應該差不多，結果份量超過預期，吃飽大約剩了一份歡樂分饗。整體來說很好吃，肉質和調味都在水準之上。外帶餐盒很精緻，日式還有保冰袋和冷媒，看到我們餐點份量還自動多加兩份沾醬，很貼心。不過沒選到青菜的部份，所以整桌滿滿的肉。 ⋯⋯更多外帶的餐點，這次點兩份歡樂分饗自由配(每份999)和一份日料雙饗(699)。原本想5大兩小應該差不多，結果份量超過預期，吃飽大約剩了一份歡樂分饗。整體來說很好吃，肉質和調味都在水準之上。外帶餐盒很精緻，日式還有保冰袋和冷媒，看到我們餐點份量還自動多加兩份沾醬，很貼心。不過沒選到青菜的部份，所以整桌滿滿的肉。菜單沒有沙拉，建議可以增加大份的沙拉~份量部份，歡樂分饗一份大概3~4人，日料大約2人份，用餐可依需求調配。取餐有免下車服務，會從旁邊貨梯下來。不過Sogo後面都是紅黃線區，而且位置不多，可以先電洽餐廳時間更好掌握。ToGo service. Nice meal and nice package. Here are 2 sets of share package and 1 sushi package. One set of share package is good for 3~4 persons. Suggest to order some vegetable together.This is a recommended choice.
ㄎㄎ仁,5,(由 Google 提供翻譯) 好吃 Cp值高(原始評論)好吃 Cp值高
W R,5,饗食外帶餐，這是一人份外帶！量算蠻多的！價格999元，選四樣。櫻桃鴨、豬肋排、紅酒燉牛肉、鮭魚炒飯 ⋯⋯更多饗食外帶餐，這是一人份外帶！量算蠻多的！價格999元，選四樣。櫻桃鴨、豬肋排、紅酒燉牛肉、鮭魚炒飯肉類不會柴，炒飯炒的不輸外面的店家。但外帶需微波加熱...
葇咪,4,服務生都很親切，收盤子速度很快，焗烤生蠔蠻新鮮的👍
雨婷王,4,下午茶價格優惠，食材也不算少👍
J Zen,1,換個座位怎麼了？ 一間店下午茶時段 除了用餐客人外 座位7成是空的 服務不以客人為主 還做什麼服務業 還有這位男性組長 請多刷牙 你嘴巴口氣真的很重 如是胃火旺 請去看中醫 不要貼很近收錢說話 影響客人用餐 ！！
王思允,5,平日中午心血來潮去吃，意外的發現菜色很棒耶！牛排不用要就給好大方，超開心，魚下巴一定要吃，很肥烤功又好，人間美味，骰子牛跟羊排也超讚
紀皓元,5,東西又多又新鮮
ShihTing Lin,5,光是蝦子的品項就很多，最愛的是天使紅蝦
水瓶子,4,👍
Shinichi,4,饗的buffet好吃
Jessica Wu,4,豐富 吃的很飽
三豆的日常,5,跟男友家人來聚餐，CP高
宋鏶方,5,食材新鮮、美味，好愛吃生魚片及其他海鮮類美食
josh lai,4,(由 Google 提供翻譯) 晚餐(原始評論)晚餐
黃庭庭,3,沒有很好吃呀，菜色也普普，但是貴鬆鬆
蘇漢岑,5,(由 Google 提供翻譯) 蛋(原始評論)蛋
beautiful花為蝶開,5,東西好吃.價格實惠
沈淑惠,4,還行
朱媺娖,5,候位很快，美味好吃種類多，用餐很愉快，值得一來
王希銘,1,響食吃到飽的訂位還有客滿的喔？ ⋯⋯更多響食吃到飽的訂位還有客滿的喔？是不是唬我啊，每個人來的時段不同，通常晚餐空位一直都會有，是在客滿哈樓?可以現場後補，訂位時電話中也不講喔，官網明明就有寫啊。
oo Q,3,之前來吃過幾次下午茶感覺不錯，這次吃午餐感覺水準下降了，鐵板蝦軟爛，烤雞肉跟鐵板羊排熟度不穩定，朋友吃到沒熟的，還是我吃膩的關係？！
張以琳,5,調酒好喝
蔡世輝,4,多樣食品，乾淨，舒適的空間，服務好
Chsy Chen,4,生魚片很好吃但是吃下來要九百實在是不太划算
劉建智,5,東西好吃新鮮，服務不錯
bing,4,選擇非常多元的自助Buffet，從壽司到港式料理、酥皮濃湯都有
Shan LaLa,2,餐點有時候都是冷的
YUPIN,3,"Good ,delicious但是越來越貴，下午茶要768元，原本一個月去兩次，漲價後改去一模一樣的 漢來海港下午茶搭配eztable只要550元左右，，響食天堂從此 881啦，不會再去"
綵騏陳,5,(由 Google 提供翻譯) 美味的食物(原始評論)อาหารอะหร่อยครับ.
李佩珊,4,食材很好，但是坐位安排還是要加強
Ricky Luck,5,品質還不錯，在中壢最有名的一家餐廳!!在Sogo裡面，很適合辦尾牙，聚會等活動。
吳曉嵐,5,食材新鮮多樣
Stephen,5,幾乎每兩個月就會來聚餐，下午茶的CP值很高，菜色多樣且新鮮，服務人員友善
楊志潛,5,(由 Google 提供翻譯) 好(原始評論)好
林安妮,4,(由 Google 提供翻譯) 聚餐的好地方(原始評論)聚餐的好地方
林瑞祥,4,還不錯哦！
劉小姐,5,食物種類多元，供應更新快速環境舒適，很棒的吃到飽餐廳 ⋯⋯更多食物種類多元，供應更新快速環境舒適，很棒的吃到飽餐廳糖烤柚子很新鮮
金針菜,5,中壢的饗食天堂他的菜色非常棒，炒菜師傅炒的口味也非常好吃，而且中壢這一家比在其他地方的饗食天堂都要好吃得多。
糖夢,1,食材不新鮮，cp值超低
Wu dy,5,各式餐點都有一定水準 空間夠寬敞
鄭大豬,4,是高消費自助式千元起跳
友路安,4,餐點，菜色越來越多元，值得品嚐
花花姐,5,甜點好吃🤤補菜迅速所有工作人員辛苦了  
hungche lee,5,料理豐盛
廖畢妏,5,服務好，食物很美味
