評論者,評等,評語
陳信如,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
張世鼎,5,東西好吃，樣式多，座位舒適，動線規劃好，很讚。
陳冠宇,4,感覺比其他分店高級，選擇更多，裝潢也漂亮
Allen Lin,5,餐點不錯，不會碰雷，中午時段蠻值得的。
BeSs LeE,3,2020.09.28 （晚餐時間18:30-20:30）生魚片區的動線有點讓人不知所措！圍了一個紅龍但是也沒指示要從何排隊，大家依舊各自插隊拿餐，看不懂！ ⋯⋯更多2020.09.28 （晚餐時間18:30-20:30）生魚片區的動線有點讓人不知所措！圍了一個紅龍但是也沒指示要從何排隊，大家依舊各自插隊拿餐，看不懂！希望服務人員收盤子時，可以詢問是否還需要？因為不想把蝦殼與蛤蜊殼扔在桌上所以先丟在盤子裡！但盤子還有其他食物，就直接被收走！無奈直好再去拿一次。蛤蜊、牛肉湯及切牛排、豬腳的師傅服務態度都很好👍🏻還有酒區吧台的外籍服務人員，及點心區的男服務生的服務很親切！洗手間異味很重，希望可以改善！整體來說選擇其實不算多！天使紅蝦、牛排、炒蛤蜊、焗烤生蠔這部份的美食還蠻好吃的空間寬敞舒適、適合聚會，但冷氣有點太冷！
Jack Lucas,1,(由 Google 提供翻譯) 糟糕的冷食(原始評論)Lousy Cold Food
Stephen China,1,"裝潢不錯 服務也好 冷食炒飯 冷pizza 涼燒賣 涼蝦餃 talking about cheating to the customers. I think it's time for reorganizing. Time to change the management. First time there, and the very last time. DO NOT WASTE your time and money. McDonald's is better. At least, you get hot food."
高健鑫,5,一樣在水準之內。
楊楊,5,多樣性食物
wan fen li,3,很久沒來了，平日人不多，可以悠閒吃東西，我的回憶中，以前比較美味，現在東西雖然多，就是食物品質還好，但以cp值來說，還是值得來吃一下。
廖寶玲,4,價格不貴，食材很不錯
鄭詩穎,5,好吃，補菜速度慢
陳慶樂,4,偶爾吃一波
ken chang,4,(由 Google 提供翻譯) 好吃(原始評論)好吃
verronica huang,5,CP質高服務好比台北五星飯店優
H CJ,1,"2020.09.25 晚間用餐餐點不若漢來的選擇性多。價位也不盡相同，各位自己衡量。 ⋯⋯更多2020.09.25 晚間用餐餐點不若漢來的選擇性多。價位也不盡相同，各位自己衡量。用餐發生兩件事，一是剛開始用餐，發現餐桌上來了無數隻（同時飛來至少5隻以上）,還一隻自殺式地飛入同學的西瓜汁杯裡。反應後，...換桌，換到往裡頭點的桌。其二，是後來來了一團公司聚餐，高聲喧嘩到已是噪音，請服務人員過去溝通，有聽到他們道歉，音量稍降，但不出20分鐘，又開始沸騰了！公司有來一位跟我們再次說明，也問我們是否想「換桌」！？原來，換桌可以解決所有事！？影響人的無須換走，被影響的卻忍受後被詢問是否換走？建議下次是否換他們吵的人，並告訴他們因為音量高聲，所以重新安排到較僻靜的地方（委婉地再次警告），這樣不會干擾到其他客人用餐，是否更為恰當！？人多的不好移，所以移走人少的好做事嗎？雖然處理態度無不佳，但被處理的對象是錯誤的，不可以柿子挑軟的吃吧！？只給一星，是因為各區都有桌邊服務人員在，持續吵鬧，他/她們也都看在眼裡，肯定都聽到了，但卻未善盡維護其他人用餐的安寧。聊天無妨，但喧鬧，店家是該適時地出面制止的！！這是餐廳，不是KTV。"
陳界攀,5,饗食天堂101旁
阿噹的療癒時間,5,用餐空間是一條一條走道人跟人之間不會太擁擠 ⋯⋯更多用餐空間是一條一條走道人跟人之間不會太擁擠聊天起來也覺得不會很吵用餐很舒適餐的部分覺得食材很新鮮種類也很多
陳ㄚ丫,5,食材新鮮，餐點種類豐富，比以前更精緻。假日用餐人潮較多，要記得提前訂位及提早到場，不然的話還是要排隊！
胡椒,5,好吃，東西多，師傅都很客氣，相當不錯。
Eric Lin,5,氣氛高雅  餐點精緻美味
毛質芯,5,東西不錯👍、種類眾多但座位有點擠有點小
Brook Li,4,菜色豐富，口味以吃到飽來說算不錯的。空間寬敞，服務也OK。生意極好，所以有點吵雜。
謝仲,4,聚會方便
Essen Kao,1,這家店刷卡要花30分鐘以上，等於信用卡要離開視線30分鐘以上，有點奇怪！後來去櫃台詢問，櫃台解釋是：刷卡機只有一台。
Ping Weng,4,不錯
蕭百玲,5,東西多樣又好吃，是聚餐的好地方
王郁閎,3,下午茶菜色很普通，服務態度也普通且空間不大。大部分的菜色也有重複價格也很貴導致不新鮮，以後可能不會常來吃。
Liu Mavis,1,整體菜色退步了。 手捲咬不斷，鳳爪，排骨，超油，感覺是冷凍過的再拿出來蒸熟。  很多菜還是冷的。  😞
愛莉濕,4,東西好吃 食材新鮮
杜明道,5,炸蝦超好吃甜點也不錯
蕭正暘,5,吃很爽，滿滿的食物，很喜歡生魚片區，環境很不錯。
翁玉珠,5,服務好，餐飲CP值好吃。
晏晨,2,但沒規定取餐時戴口罩🙄🙄不優，有些人在取餐時聊天，沒有取餐不聊天的標語😒😒
Jim Chang,5,2020.09.11 來信義店用下午茶，由於是平日的關係，來此用餐的客人並沒有特別多，用餐的感覺相當的愜意，此次用餐店員建議我們註冊iEAT饗愛吃app，可免費獲得柚香磯煮鮑魚乙份活動（9/7-11上午11點），在用餐前先去櫃檯完成兌換，進入餐廳用餐後沒有等很久，就由服務人員送至座位，鮑魚也很好吃。天使紅蝦、骰子牛、生魚片、烤鴨拿了許多次，吃起來很過癮，柳橙汁是現打果汁，而水果樣式僅五、六樣，則稍顯不足，整體而言還是相當不錯，值得再次回訪。
Wen Lu Han,5,(由 Google 提供翻譯) CP值很高 (๑´ڡ`๑)(原始評論)CP值很高 (๑´ڡ`๑)
顧先生,5,東西多好吃
韓行堯,5,服務良好食品新鮮
Lin Linda,1,晚餐時段很多東西都沒了也不補，我知道東西煮太多又加上快打洋可能會造成浪費，但對消費者花錢吃不到自己要吃的東西🙄🙄🙄
阿書,5,大麥克好吃
chun,5,C P值太高！我和同事一起去，大家一致認為比晶華飯店好吃又便宜！上次和同事去吃，中間發生一點有趣的小插曲：它們蛤蟆區只剩下一堆空殼，我們便把一堆殼夾走，等工作人員補上 ⋯⋯更多C P值太高！我和同事一起去，大家一致認為比晶華飯店好吃又便宜！上次和同事去吃，中間發生一點有趣的小插曲：它們蛤蟆區只剩下一堆空殼，我們便把一堆殼夾走，等工作人員補上其實我們沒發什麼怨言，只是在笑同事夾了一堆不能吃的殼回坐位區（經計算後有22個空殼，3個打不開殼，2個真正有肉的）不久有位服務人員來收拾桌面，以為我們那盤是吃剩的要收走，我們才說那是夾剩下的一堆殼（唯2有肉的蛤沒吃呢！驚！）店員就一直跟我們道歉（其實我們也不以為意，只是在等它們補上新的蛤蟆而已）之後店員居然為我們從廚房端來了一大盤蛤蟆補償我們....謝謝超有心的～
Steven Tsai,5,空間舒適，取餐動線好
Chen Shaine,1,疫情尚未結束，進入餐廳也沒消毒客戶的手或測量客戶體溫，也沒有實名制所有客戶；另外餐點幾乎全部暴露在外，客戶也大多沒帶口罩，沒看到餐廳對疫情做任何保護措施，實在是有點失望，若不是家中長輩一定要吃，實在是不會想去這地方用餐。
Areyou Chen,4,晚餐真的比較豐富，也蠻好吃的
毛捲捲,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
i lin,4,食物、環境、服務都還不錯但不知是不是疫情已經沒那麼緊張完全沒有倡導取食物時需配戴口罩及放寬桌子距離
林建勳,5,氣氛不錯 用餐空間舒適
梁隆基,4,喜歡
莊婷伊,4,第一次來信義店吃下午茶時段店的裝潢感覺頗氣派！也蠻大 ⋯⋯更多第一次來信義店吃下午茶時段店的裝潢感覺頗氣派！也蠻大蛤蜊湯、蚵仔粥、生魚片、骰子牛、柳葉魚、茶碗蒸都不錯吃👍👍👍甜點的焦糖烤布蕾、提拉米蘇👍
Jessica Yang,4,來饗食天堂我最愛吃炸蝦、酥皮濃湯、晚餐的肋眼牛排、烤鴨捲餅、櫻花蝦高麗菜、大口饗肋骨、烤焦糖葡萄柚、提拉米蘇，整體比板橋店好吃
hsiu ying wang,3,東西還算新鮮多樣，但用餐時段結束前半小時服務生就開始急著一直來收盤子令服務品質大打折扣
彭昭明,4,不錯吃，
Demi Wang,5,小孩喜歡
李Alan,3,(由 Google 提供翻譯) 一般般(原始評論)一般般
LOUIS TAN,4,台北CP值最佳的吃到飽餐廳老中青少童偕歡。螃蟹是敗筆扣一顆星。
賴儀芳,4,"買gomaji 餐卷，比較便宜，前一週有吃饗食集團的旭集，覺得沒有太大差距，價差約600,如果沒有很愛螃蟹干貝🦐，其實來饗食天堂就好"
Chang an Kuang,4,跟之前吃的感覺變得不一樣。讃！
Yu-Tsan Lin,4,動線稍嫌擁擠，彩色算豐富，海鮮普遍不新鮮，牛肉不錯。
OM EN,4,東西都很美味 !但是疏於管理課人，限定客人一個人拿取份量的食物，都被一兩個人一次搶光光，還有人插隊直接搶光，後面客人排隊搞得跟智障一樣，心情很差。
BAWAN -,5,優質服務，餐點尚可
陳炘澤,1,(由 Google 提供翻譯) 吃完回家路上不舒服吐（吐了五次）吃之前都好好的(原始評論)吃完回家路上不舒服吐（吐了五次）吃之前都好好的
安妮,5,果然還是這家的食材最新鮮
王承偉,5,下午餐從14：30-16：30，二小時用餐時間很夠用，提供的食物種類很多、味道嚐起來也不錯，每一種類的餐點都嚐一些就非常的飽了。
葉育瑋,4,食物品質一般，選擇多動線尚可，除冰淇淋排隊時間長以外，其他項目等待時間還可以接受，下午茶價位約900尚可接受！
Mumu So,5,服務人員跟廚師都非常親切！東西也好吃，這個夏天已經吃第三次啦~
牛牛,5,瓜張的好
蔡秀青,4,位置寬廣無据束感，菜色多元各取所需，牛排、生魚片新鮮，煎炒炸煮法多樣化，冰淇淋好吃，甜點各樣式都有，新鮮沙拉水果不錯吃。
Yi Chen Xue,4,就是響食天堂嘛
曾秋琪,5,樣式豐富，有許多貼心小細節，值得一吃再吃
翁肇廷,4,服務人員訓練不錯 廚藝亦佳 食材也不馬虎
林宜霆,5,跟老公帶小朋友第一次來饗食信義分店一進去就覺得乾淨明亮，而且餐點更是好吃，服務人員包括吧檯師父們服務更是一級棒一定要給五顆星啦!!!
蔡重卿,5,用餐人潮超多的，食材多樣。
Lydia Kuo,5,千元以下的最佳選擇
陳新民,4,多又鮮
Roger Li Roger Li,4,食材佳服務好❗
Ryan Jian,4,優點:動線明確，服務熱忱。缺點:消費可抵停車，但停車位太少。
Christine Lin,5,(由 Google 提供翻譯) 自助餐(原始評論)Buffet
高美雲,5,滿足，開心，食物多樣，新鮮，最重要的是❝好吃❞
吳宇婕,5,(由 Google 提供翻譯) 好吃唷(原始評論)好吃唷
Tjc Tso,3,交通方便距捷運市府站6，7分鐘路程價格一般菜色不錯蠻新鮮場地寬敞
CHEN Robert,5,菜色豐富，好吃！
詹德鴻,5,場地大又食材豐富好停車
李文義,5,海鮮物品新鮮，樣式多樣化。
Kim Kim,5,貼心~謝謝需求多了點……可在努力服務下  滿足謝謝你們  爸爸們很開心~
C Chang,5,好吃好喝，一定還會在去
Jay Hsueh,4,食材新鮮，假日用餐人潮較多，記得提前訂位及提早到場，不然...還是要排隊！
Tien Chou,4,餐點豐富，服務好
mini0611888,5,食材新鮮，服務生態度也很好
黃建森,5,食材新鮮 樣式齊全 各國料理都有美味一絕
陳政男,2,想說因應政府的振興政策來消費振興券，服務人員卻在結帳的時候企圖引導客人少花振興券、以現金為佳的態度，讓我第一次光臨貴店的印象大打折扣，可惜可惜……
魏群,3,路過臨時決定嘗試一次整體來說品項不少但是補菜的速度非常慢常常有東西整盤空在那走兩三趟都還是空的 ⋯⋯更多路過臨時決定嘗試一次整體來說品項不少但是補菜的速度非常慢常常有東西整盤空在那走兩三趟都還是空的還有跟握壽司區的師傅要東西，好像剛做完別的事情就拿食物有點噁牛肉吃到剩下最後的一小塊時味道也有點腥我會覺得同樣價格拿去吃其他飯店的下午茶更好
Chan Chan,5,(由 Google 提供翻譯) 很棒(原始評論)很棒
Annie Tsai,5,食材豐富，視野寬闊
Coyee Wai,4,享用晚餐，還算不錯。牛肉類餐點不錯，不會老；鮪魚不新鮮，鮭魚好吃； ⋯⋯更多享用晚餐，還算不錯。牛肉類餐點不錯，不會老；鮪魚不新鮮，鮭魚好吃；烤蝦的殼都黏肉，蒸蝦比較好；水果區的芒果超酸，但料理類的芒果是甜的；乾煎干貝蠻大顆的，也新鮮；甜點種類不多，味道還可以，芒果塔跟奶酪都不錯。最喜歡宇治金時（抹茶紅豆雪花冰），微苦是用真的抹茶粉去做。個別服務員態度一般，收盤速度剛開始很快，約一小時後變慢。
Samuel Chang,5,"(由 Google 提供翻譯) 您可以吃的所有食物都物超所值，包括扇貝，大蝦和生魚片(原始評論) …更多(由 Google 提供翻譯) 您可以吃的所有食物都物超所值，包括扇貝，大蝦和生魚片(原始評論)Great value for all the food you can eat, including scallops, giant shrimp, and sashimi"
Andy Cool,3,壽司米太黏，口感不佳，全部不值得食用。蝦類4~5種，都還不錯吃，其他各式菜色，也還中規中矩，整體評價普普通通。
Rolexsam,5,很多美食，熱炒很好吃，食材都很新鮮
Bella Chen,5,服務親切，食材新鮮，環境優雅
Franzi Wang,4,很喜歡果汁和甜點，其他食物也不錯吃了超多超飽，青菜有點少但肉好吃。我不吃海鮮，但家父對蝦子螃蟹貝類讚不絕口。用餐目的是慶祝媽媽生日，壽星有95折優惠。
陳瑋,5,帶爸媽來吃不過被爸媽知道價格了哭哭
Lee Leo,5,CP值高的吃到飽，下午茶時段也有多樣化的選擇，環境舒適，適合聚餐。
Fang Maggie,5,菜色精緻美味，令人回味！
許柏陞,1,(由 Google 提供翻譯) 副理根本就垃圾笑死人 …更多(由 Google 提供翻譯) 副理根本就垃圾笑死人(原始評論)副理根本就垃圾笑死人
葉彥宏,3,音樂放太大聲了，交談就聽不清楚，更何況是接電話
藍秀怜,5,好吃，服務人員nice
劉福利,4,(由 Google 提供翻譯) 一(原始評論)一
徐輝宗,4,菜色多，品質管制良好，新鮮食材，服務良好。
淇琪,5,餐點好吃，服務態度很棒，調酒也很好喝≧∇≦
游正皓,5,東西多樣豐富又好吃👍
陳同學,5,我覺得每樣都很好吃，不會有地雷，我最愛魚下巴
孫弘,4,餐點種類多，比以前精緻，當然價格也.....
Chin yin Wei,5,在一般下午茶吃到飽餐廳，食物新鮮度跟種類多很多
Rolenth Wang,5,希望對於行動不便的人，可以安排在離bar台近一點的位置，我自己沒事先提醒服務人員，所以我還是給現場服務人員5顆星，他們辛苦了。
秀玲,5,美味。質感很好。
ABBIE Lin,3,客服很不ok👎都還沒去吃就覺得不舒服直接打斷客人講話是怎樣.....超沒禮貌🙄️
阿宜駿,4,焗烤生蠔，煎幹干貝味道鮮美
fanny lang,5,(由 Google 提供翻譯) 好吃(原始評論)好吃
曾莫敵,2,"食材品質沒有以前好,烤牛肉筋多.烤鴨很乾.熱食區的蝦肉偏硬,整體說起來只有羊排.沙拉吧&甜點還行"
王淑芸,5,幾乎每個月都會跟家人去吃一次cp值很高的一家自助餐
Lydia Hsu,5,我是平日晚餐時段來的，Buffet種類多樣化，真的非常豐富，有日/中/港/西/法/德/義式料理，和現點現做的天使紅蝦、肩羊排、蛤蜊湯、鱸魚捲，食物美味好吃，料鮮味美，最喜歡沙拉、生魚片、炸蝦、蛤蜊湯、生巧克力、覆盆莓奶酪。建議每樣只取一點點，才有辦法吃到很多種又不造成浪費。店內裝潢美麗，座位舒適，動線流暢，靠窗附近的位子還可欣賞到夜景，很美很浪漫。可惜美中不足的是，焗烤生蠔味道有點腥，一開始服務生的收盤速度和吃到後面的補菜速度稍慢，若可稍作改進，就更完美了！
柳宗憲,5,沒吃過饗食天堂就來東區這裡朝聖了自助餐好好吃~
Liu Ammon,5,場地寬大，食材豐富，名不虛傳
Chơi Liên Quân Theo Cách Của Bạn,5,(由 Google 提供翻譯) 很好(原始評論)很好
ghostya654,5,品項選擇多服務人員親切氣氛不錯 ⋯⋯更多品項選擇多服務人員親切氣氛不錯聚餐都會想來這～
劉Diva,5,"6/21假日晚餐來用餐,煎干貝為此時段限定.本來以為是小顆的干貝,沒想到是跟旭集使用一樣的大干貝,非常好吃,出的也算快不會吃不到,整體來說二訪用餐心得還是覺得好吃~~~ ⋯⋯更多6/21假日晚餐來用餐,煎干貝為此時段限定.本來以為是小顆的干貝,沒想到是跟旭集使用一樣的大干貝,非常好吃,出的也算快不會吃不到,整體來說二訪用餐心得還是覺得好吃~~~==========================================================6/9來到信義店吃晚餐.先說這次主打的黑鮪魚<6/2~15限定>果然大家都是衝著黑鮪魚來的,饗食天堂只有提供""赤身""的部位,如果要吃腹肉要去比較貴的饗饗跟旭集才有.赤身完全不含脂肪,切的很厚,咬起來軟Q軟Q略帶嚼勁,但不會難咬,魚的味道比黃鰭鮪重一點,我是覺得普普啦,果然黑鮪魚腹肉才是賣點~~~鮭魚的部分也很好吃,有很多店家都會把腹肉全部去做握壽司,但這邊生魚片也是有吃到腹肉喔.炙燒鮭魚壽司,我覺得不會輸給旭集,有把油逼出來非常的香.炸物區比較普通,沒看到以前吃過的藍帶豬排.燒烤區的烤白蝦,烤綠竹筍都很棒,然後烤鮮蚵也是好吃啦,但個頭真的很小.....非常小,希望店家可以用大一點啦,現在是產蚵的旺季價格便宜,不要太省成本啦.有焗烤生蠔,跟漢來一樣用廣島的,但我真的覺得還是台灣蚵比較鮮.....鐵板區有骰子牛,天使蝦,羊排~~天使蝦還算新鮮,口感也可以,其它沒吃.現切牛排取用的部位是肋眼,也是好吃,淡淡的肉香味,沒什麼筋,肉質咬起來也算好嚼,旁邊還有德國豬腳,不愛略過.烤鴨現在有剁整盤的,肉質還可以不會太柴,但這鴨皮沒什麼脆,吃起來普普,這叉燒就好吃,有入味.熱炒區的炒貝殼好吃,冷盤區的軟絲也蠻好吃的.甜點區蛋糕都還可以,水果有哈蜜瓜跟愛文芒果喔.還有日式沙瓦這種簡單的調酒還不錯喝,冷萃咖啡的苦味低略帶點酸味也很好喝.整體吃下來,以千元BUFFET來說只能用只能用""讚""來形容,內部裝潢的好像高級餐廳的感覺配上黃色的燈光,FU還不錯.去年在大直店吃過覺得蠻糟糕的,所以很久沒來饗食用餐了,沒想到信義店會這麼棒,補菜速度算快,熱門餐點基本上等一下都吃得到,還會再來~~~"
David Lo,5,好吃，買四送一，停車滿1000抵一時，服務好東西好吃。
Ching,5,好吃，態度素質比京站好太多了
C Vina,5,氣氛真的不錯
Ying Ying,4,空間很大，不知道是平日中午的關係還是因為疫情，人沒有想像中的多。整個氛圍比京站好很多。我比較喜歡這裡...
Chani Chuang,4,家庭聚餐好去處
江小姐,3,用餐時間長，可慢慢享受
Tom H,3,點羊煎排被強制要求在原處等很不方便
李盈瑩,5,服務很好東西也好吃喔~
Guanyin拿鐵,5,吃到飽通常不會到太雷！但是海鮮類要多多注意吧~上次吃到有沙那個牡蠣
KIMI YU,3,饗食天堂的食物真的都沒甚麼變化，每次走兩次就不知道要吃甚麼，只好開始拿甜點了....@@希望能加強 多變化一些食材
阿傑,5,食材多，有很多選擇，價格便宜，服務員也很細心
初音控,5,壽司最好吃
陳彥均,4,"如果價位可以便宜些會更好~最愛吃魚下巴,必吃五個以上"
fujeffkimo,4,東西不錯吃，服務也滿棒挑不出啥毛病的中高階BUFFET
JD WU,3,衝著黑鮪魚來吃，不錯。唯一讓人覺得難吃的應該是泰式海鮮沙拉了，不知道是花枝還是透抽，煮的太硬，根本咬不動。除此之外，其他食材都維持的差不多。
子華廖,5,生蠔不行，蝦子類都很不錯尤其是天使紅蝦。
JingYa Wang,4,平日晚餐時段用餐時間很長18:00-21:00可惜吃不了太多輪很多品項可以選
Dr. M. Roja Raman,5,"(由 Google 提供翻譯) 滿足您最大需求的所有美食的最佳去處。成年人每人1000NT的價格就可以選擇很多，包括燒烤和水煮海鮮，生魚片，豬肉，烤鴨，酒精飲料和果汁，各種甜點，冰淇淋，咖啡茶等等。請確保您在座位預留之前就預留好座位，因為座位在周末很忙。 …更多(由 Google 提供翻譯) 滿足您最大需求的所有美食的最佳去處。成年人每人1000NT的價格就可以選擇很多，包括燒烤和水煮海鮮，生魚片，豬肉，烤鴨，酒精飲料和果汁，各種甜點，冰淇淋，咖啡茶等等。請確保您在座位預留之前就預留好座位，因為座位在周末很忙。(原始評論)The best place to for all you want to eat to satisfy your fullest desire. Plenty of options with bbq and boiled seafood, sashimi, pork, roasted duck, alcoholic beverages and fruit juices, variety of desserts ice creams coffee tea ahhh lot many you can enjoy with about 1000NT per adult. Make sure you reserve your seat before as it is quite busy in the wéek ends."
Clarissa Lee,4,場地寬敞，食材優，品項多種。 用餐氣氛佳。
秉緯,4,第二次吃響食天堂的樣子，第一次的午餐菜色不錯吃。三盤就被ko了。😂😂😂
Teresa YEH,5,先預約會比較好！多樣選擇！不錯👍🏻👍🏻👍🏻
Paulina Lien,4,肉類的部份都好吃，最推骰子牛，但整體口味偏重偏油，適合口味比較重的人。甜點都超、級、甜，非常不推，對身體負擔很大。白蝦新鮮，果汁沒有特色(就是基本的西瓜汁、柳澄汁)。 ⋯⋯更多肉類的部份都好吃，最推骰子牛，但整體口味偏重偏油，適合口味比較重的人。甜點都超、級、甜，非常不推，對身體負擔很大。白蝦新鮮，果汁沒有特色(就是基本的西瓜汁、柳澄汁)。菜色不多，但都有一定的水準，目前菜色最少的還是板橋的朋派buffet。氣氛好，位置寬敞，人員態度親切，收盤子很快。
Johnny0900 Ch,4,很不錯
Amis Huang,4,餐點很好吃！烤天使紅蝦、骰子牛、京都排骨都很強！食物滿多樣的，還不定時會有甜點車來詢問限定的甜點，個人覺得cp頗高。 ⋯⋯更多餐點很好吃！烤天使紅蝦、骰子牛、京都排骨都很強！食物滿多樣的，還不定時會有甜點車來詢問限定的甜點，個人覺得cp頗高。建議買餐卷去吃可以省一些錢！有氣泡水類跟酒精飲品，草莓跟彈珠汽水口味不錯。推響食天堂！
許真也,5,(由 Google 提供翻譯) 非常好吃工作人員也親切。 …更多(由 Google 提供翻譯) 非常好吃工作人員也親切。(原始評論)非常好吃工作人员也亲切。
Melinda Yu,1,今天跟朋友聚餐，店員送結帳單據給我們，提醒我們可以填問卷抽獎。因為疫情的關係，我們那區才2x位客人，所以服務生收盤子的速度很慢，大概半小時一輪。我看著朋友每次都要清他之前的餐盤才能用餐，於是我就寫了問卷，反應餐盤回收速度有些慢。結果經理看到問卷馬上跑來虛寒問暖之後，突然說她看到有人寫問卷反應餐盤回收速度太慢，嚇得我朋友們馬上都說不是他們。我真的傻眼了，這感覺真的不是普通的尷尬。還好都是很熟悉的朋友，而且我也是為了朋友方便才反應的，結果搞得我好丟臉。我填寫問卷反應這個問題，不是 ⋯⋯更多今天跟朋友聚餐，店員送結帳單據給我們，提醒我們可以填問卷抽獎。因為疫情的關係，我們那區才2x位客人，所以服務生收盤子的速度很慢，大概半小時一輪。我看著朋友每次都要清他之前的餐盤才能用餐，於是我就寫了問卷，反應餐盤回收速度有些慢。結果經理看到問卷馬上跑來虛寒問暖之後，突然說她看到有人寫問卷反應餐盤回收速度太慢，嚇得我朋友們馬上都說不是他們。我真的傻眼了，這感覺真的不是普通的尷尬。還好都是很熟悉的朋友，而且我也是為了朋友方便才反應的，結果搞得我好丟臉。我填寫問卷反應這個問題，不是要讓經理跑來跟我說她看到了，好嗎？!我只是希望她可以默默的處理，而不是讓我丟臉丟大發。
陳小光,5,(由 Google 提供翻譯) 好粗(原始評論)好粗
Jocelyn Cheng,4,價格越來越貴！但菜色跟我4、5年前來吃的時候沒差多少，CP值越來越低......
kenny tong,4,很不錯！！
Fion Tseng,5,東西好吃，環境衞生，服務態度很好！
Jeffery,2,非常普通，無特別令人驚艷的特色
Shan Chang,5,防疫做的不錯 每半小時會提醒！服務很好👍 也很好吃
Ang Rick,5,服務人員非常積極處理消費問題，且東西又好吃環境也優，值得推薦
林紫米,5,東西好吃又新鮮，服務很好、防疫做得很棒
Chen Liyu,5,去好幾次了，真的好吃，選擇也多！
